# slice R smoke — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
C/cpg/1/Tt2	4643741180423569407	286.12499999999994
C/cpg/1/Tt25	4645379450453766007	379.2498695335739
C/cpg/1/Tt3	4648688223211221798	622.6636506017282
C/cpg/1/Tt4	4652992471259676672	1200.0
C/cpg/1/Tt45	4652050182214013278	1004.8741381788093
C/cpg/1/Tt5	4651393545498262600	930.223186433207
C/cpg/1/branch_choked	1	1
C/cpg/1/eta_hpc	4606087896366648521	0.8784835993505108
C/cpg/1/eta_hpt	4606461842859638129	0.92
C/cpg/1/eta_lpc	4606236337273824303	0.8949638506447907
C/cpg/1/eta_lpt	4606281698874543309	0.9
C/cpg/1/f	4581731606827121048	0.021074757975890174
C/cpg/1/m_hp	4606013831885514112	0.8702607901242772
C/cpg/1/m_imp	4604768067321029574	0.7319531398489907
C/cpg/1/m_lp	4604768067321029574	0.7319531398489907
C/cpg/1/mdot4	4604907009992275457	0.747378875121001
C/cpg/1/mdot_air	4604768067321029574	0.7319531398489907
C/cpg/1/n_hp	4606308763496701912	0.9030047766673261
C/cpg/1/n_lp	4605842986283984860	0.8512931180769061
C/cpg/1/nu_hp	4606062002654541702	0.8756088198131102
C/cpg/1/nu_hpt	4606992911123333582	0.9789604214002396
C/cpg/1/nu_lp	4605842986283984860	0.8512931180769061
C/cpg/1/nu_lpt	4606748043376958394	0.951774640398859
C/cpg/1/phi_hp	4606855807447775962	0.9637388556637589
C/cpg/1/phi_lp	4605919729204471802	0.8598132938070642
C/cpg/1/pi_hpc	4617070820399725547	4.782664906188965
C/cpg/1/pi_hpt	4601427004634511389	0.4305103338600718
C/cpg/1/pi_lpc	4612691827301682111	2.4466688682454953
C/cpg/1/pi_lpt	4604376207078889679	0.6884479135231006
C/cpg/1/pt4	4695753120620540798	873802.7568737117
C/cpg/1/slip	4606932288415762497	0.972229948824186
C/cpg/1/sp_thrust	4648187528093955287	565.7412060570449
C/cpg/1/tau_hpc	4610072962216851298	1.6418295710095312
C/cpg/1/tau_hpt	4605717804202370306	0.8373951151490078
C/cpg/1/tau_lpc	4608648201684177582	1.3254691814192188
C/cpg/1/tau_lpt	4606513284257310084	0.9257111424114304
C/cpg/1/exit_noise	0	0
C/cpg/1/passes	4	4
C/cpg/1/powers_calls	13	13
C/start/nu_lp	4605842986283985428	0.8512931180769692
C/start/nu_hp	4606062002654540384	0.8756088198129639
C/start/pi_lpc	4612691827301683236	2.446668868245995
C/start/Phi_lp	4383428248386348696	1.1693700498305774e-15
C/start/Phi_hp	4376511527230214569	3.954110402833763e-16
C/start/exit_noise	0	0
C/start/passes	4	4
C/start/powers_calls	13	13
census/C/cpg/close_bracket_fails	0	0
census/C/cpg/close_calls	30	30
census/C/cpg/close_nonreal_propagated	0	0
census/C/cpg/eig_complex	0	0
census/C/cpg/eig_real	0	0
census/C/cpg/hi_wall_literal	0	0
census/C/cpg/hi_wall_map	30	30
census/C/cpg/illinois_calls	30	30
census/C/cpg/illinois_evals	285	285
census/C/cpg/illinois_exhausted	0	0
census/C/cpg/instant_calls	3	3
census/C/cpg/integrate_calls	0	0
census/C/cpg/match_calls	0	0
census/C/cpg/powers_calls	27	27
C/re/0/nu_lp	4607182418799968072	0.9999999999945226
C/re/0/nu_hp	4607182418799683289	0.9999999999629053
C/re/0/Phi_lp	4412324990837178405	9.850733654750828e-14
C/re/0/Phi_hp	13634828533302201629	-8.754539621983478e-14
C/re/0/pi_lpc	4613937818241328040	3.000000000113193
C/re/0/pi_hpc	4618441417867985101	5.9999999995927285
C/re/0/mdot_air	4607182418799742345	0.9999999999694619
C/re/0/exit_noise	0	0
C/re/0/passes	1	1
C/re/0/powers_calls	4	4
C/re/1/nu_lp	4606951021238338024	0.9743097099181428
C/re/1/nu_hp	4607005252514796807	0.9803305910960781
C/re/1/Phi_lp	4421124879635161442	3.8356284285692197e-13
C/re/1/Phi_hp	13651901145929011928	-1.2105341951515952e-12
C/re/1/pi_lpc	4613713919336696357	2.9005689124690144
C/re/1/pi_hpc	4618208232646056816	5.792889917683041
C/re/1/mdot_air	4606744758731904356	0.9514099715421875
C/re/1/exit_noise	1	1
C/re/1/passes	80	80
C/re/1/powers_calls	240	240
census/C/re/close_bracket_fails	0	0
census/C/re/close_calls	246	246
census/C/re/close_nonreal_propagated	0	0
census/C/re/eig_complex	0	0
census/C/re/eig_real	0	0
census/C/re/hi_wall_literal	0	0
census/C/re/hi_wall_map	246	246
census/C/re/illinois_calls	246	246
census/C/re/illinois_evals	2081	2081
census/C/re/illinois_exhausted	0	0
census/C/re/instant_calls	2	2
