# phase-5I off-design matcher oracle — key	u64 bits	repr
# cpython 3.14.3
cell/cpg/0.50/500/s3/pt	4683678224648570281	130120.48203375064
cell/cpg/0.50/500/s4/Tt	4647503709213818880	500.0
cell/cpg/0.50/500/s4/pt	4683320552191050463	124915.6627524006
cell/cpg/0.50/500/s5/Tt	4646383165472120954	436.30446273880773
cell/cpg/0.50/500/s5/pt	4679094192740834750	64475.01915412721
cell/cpg/0.50/500/s9/Tt	4646383165472120954	436.30446273880773
cell/cpg/0.50/500/s9/pt	4678916965157682142	63185.51877104466
cell/cpg/0.50/500/s4/far	4574307213461049590	0.00664155476046723
cell/cpg/0.50/600/abort	0	0.0
cell/cpg/0.50/600/branch	4607182418800017408	1.0
cell/cpg/0.50/600/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.50/600/pi_c	4614109206597928523	3.0761117199734023
cell/cpg/0.50/600/tau_c	4609119842329280829	1.4301944421277561
cell/cpg/0.50/600/tau_t	4605806941880599897	0.8472913854222198
cell/cpg/0.50/600/pi_t	4601719696870991806	0.4467580168635513
cell/cpg/0.50/600/mdot_air	4600296389030297612	0.3677485600701409
cell/cpg/0.50/600/mdot_ratio	4600296389030297612	0.3677485600701409
cell/cpg/0.50/600/thrust	4634271932594223414	64.96514483492214
cell/cpg/0.50/600/V0	4639778685815524299	158.4416296305993
cell/cpg/0.50/600/V9	4644551279489474705	332.1738005220041
cell/cpg/0.50/600/M9	4605380840098690825	0.799984584511294
cell/cpg/0.50/600/T9	4646867702689265471	463.8472147266038
cell/cpg/0.50/600/p9	4677104761256804352	50000.0
cell/cpg/0.50/600/F_over_mdot	4640419561849423279	176.65642204698585
cell/cpg/0.50/600/tsfc	4542478925491803232	4.9833324923955575e-05
cell/cpg/0.50/600/eta_th	4592907689205947868	0.11439833167957353
cell/cpg/0.50/600/eta_p	4604024140419626865	0.6493606623914571
cell/cpg/0.50/600/s2/Tt	4643325565028270080	262.5
cell/cpg/0.50/600/s2/pt	4678139857026256349	57531.31294515331
cell/cpg/0.50/600/s3/Tt	4645312180951831205	375.426041058536
cell/cpg/0.50/600/s3/pt	4685320750089323117	176972.74601604362
cell/cpg/0.50/600/s4/Tt	4648488871632306176	600.0
cell/cpg/0.50/600/s4/pt	4685077520599268006	169893.83617540187
cell/cpg/0.50/600/s5/Tt	4647651040803318084	508.3748312533319
cell/cpg/0.50/600/s5/pt	4679952319992323048	75901.43332706357
cell/cpg/0.50/600/s9/Tt	4647651040803318084	508.3748312533319
cell/cpg/0.50/600/s9/pt	4679848001856688084	74383.4046605223
cell/cpg/0.50/600/s4/far	4576228423039976724	0.008803376879770876
cell/cpg/0.50/650/abort	0	0.0
cell/cpg/0.50/650/branch	4607182418800017408	1.0
cell/cpg/0.50/650/n_solve_turbine	4619567317775286272	7.0
cell/cpg/0.50/650/pi_c	4614947495571685595	3.4483868079552003
cell/cpg/0.50/650/tau_c	4609353922164725385	1.482170606709959
cell/cpg/0.50/650/tau_t	4605761000042982898	0.8421908168306216
cell/cpg/0.50/650/pi_t	4601484354246868908	0.43369387686470406
