# phase-5K two-spool matcher oracle — key	u64 bits	repr
# cpython 3.14.3
r38/cpg/0.50/900/pi_hpc	4616082986648539795	3.9526461430671787
r38/cpg/0.50/900/tau_lpc	4608373024161819897	1.2643674971830576
r38/cpg/0.50/900/tau_hpc	4609643772326158611	1.5465302712928561
r38/cpg/0.50/900/tau_hpt	4605717804202370307	0.8373951151490079
r38/cpg/0.50/900/pi_hpt	4601427004634511389	0.4305103338600718
r38/cpg/0.50/900/tau_lpt	4606513284257310084	0.9257111424114304
r38/cpg/0.50/900/pi_lpt	4604376207078889679	0.6884479135231006
r38/cpg/0.50/900/mdot_air	4601752324962065346	0.44856923976152185
r38/cpg/0.50/900/mdot_ratio	4601752324962065346	0.44856923976152185
r38/cpg/0.50/900/thrust	4641151956818004647	197.47233903229537
r38/cpg/0.50/900/V0	4639778685815524299	158.4416296305993
r38/cpg/0.50/900/V9	4647061556763753479	474.8665430805999
r38/cpg/0.50/900/M9	4607182418800017403	0.9999999999999994
r38/cpg/0.50/900/T9	4648547517783730003	606.6672954999179
r38/cpg/0.50/900/p9	4679755645474272288	73039.442412809
r38/cpg/0.50/900/F_over_mdot	4646452173372413200	440.22710771982474
r38/cpg/0.50/900/tsfc	4539998011422508378	3.302199727595974e-05
r38/cpg/0.50/900/eta_th	4595064984176303063	0.1636736270340566
r38/cpg/0.50/900/eta_p	4604344482163133611	0.6849257403304326
r38/cpg/0.50/900/s2/Tt	4643325565028270080	262.5
r38/cpg/0.50/900/s2/pt	4678139857026256349	57531.31294515331
r38/cpg/0.50/900/s25/Tt	4644546400604337085	331.8964680105526
r38/cpg/0.50/900/s25/pt	4683081317389193047	121434.33819609635
r38/cpg/0.50/900/s3/Tt	4647726144239898355	513.2879347135007
r38/cpg/0.50/900/s3/pt	4691989725794285942	479986.9685067156
r38/cpg/0.50/900/s4/Tt	4651127699538968576	900.0
r38/cpg/0.50/900/s4/pt	4691659881261127138	460787.489766447
r38/cpg/0.50/900/s45/Tt	4649840440615255303	753.655603634107
r38/cpg/0.50/900/s45/pt	4686056083882366922	198373.77605789743
r38/cpg/0.50/900/s5/Tt	4649347963078442296	697.6673898249055
r38/cpg/0.50/900/s5/pt	4683932522726902602	136570.01222475833
r38/cpg/0.50/900/s9/Tt	4649347963078442296	697.6673898249055
r38/cpg/0.50/900/s9/pt	4683838672529123457	133838.61198026317
r38/cpg/0.50/900/s4/far	4579533734550174716	0.014537178351927686
r38/cpg/0.50/1100/abort	0	0.0
r38/cpg/0.50/1100/n_pass	4620693217682128896	8.0
