# phase-4G NO-march oracle — key	u64 bits	repr
# pypy 3.11.15
exact/cold/9/beta	4569494854351327065	0.003186874299616987
exact/cold/9/a	4651443451042520768	935.8967899446943
exact/cold/9/surrogate	4792592837972140598	2571501014308.2764
exact/cold/9/ratio	4607485464008677692	1.0672895536313964
exact/cold/10/tau	4802200897681180312	11459559632035.297
exact/cold/10/beta	4567227704266955280	0.0022036546808863536
exact/cold/10/a	4655770347503171561	1831.6159314098716
exact/cold/10/surrogate	4801969573310702200	11007754220945.234
exact/cold/10/ratio	4607367265830591321	1.0410442858753497
traj/cold/T_exit	4649287324828129836	690.7736189019101
traj/cold/T_mid	4650742225623756636	856.1766895553842
traj/cold/p_mid	4682696750854492031	115838.15858346036
traj/cold/x_no_frozen	4556072932954877180	0.00040317734560409136
exact/dp/0/tau	4688790098793752399	293744.16501008434
exact/dp/0/beta	4592066694844636929	0.10272719038573187
exact/dp/0/a	4611886313578472574	2.08894891538199
exact/dp/0/surrogate	4681383534118765322	96728.33996869266
exact/dp/0/ratio	4614020673816643603	3.0367952670867537
exact/dp/1/tau	4693734516881179175	638806.3529148743
exact/dp/1/beta	4590803315172401728	0.08519427537374558
exact/dp/1/a	4614033421851027181	3.0424565316032983
exact/dp/1/surrogate	4687446720918838445	238846.64059421924
exact/dp/1/ratio	4613204961226806230	2.6745461076011265
exact/dp/2/tau	4698934439727380523	1439738.0890612702
exact/dp/2/beta	4589697342956699759	0.06984582764289525
exact/dp/2/a	4616771654737402520	4.516952420998358
exact/dp/2/surrogate	4693502755468987918	611825.7735275642
exact/dp/2/ratio	4612481316134811793	2.353183130485441
exact/dp/3/tau	4704515038141003172	3380992.8193575907
exact/dp/3/beta	4588313023901220521	0.05656727076632013
exact/dp/3/a	4619391414165708125	6.843766210025334
exact/dp/3/surrogate	4699749328222045825	1629469.1017803254
exact/dp/3/ratio	4611854688432121769	2.0749045291276684
exact/dp/4/tau	4710687193353974653	8315949.122586128
exact/dp/4/beta	4586678055181176859	0.04522239628173016
exact/dp/4/a	4622154203568620750	10.595232271737043
exact/dp/4/surrogate	4706614300290296605	4522771.868387965
exact/dp/4/ratio	4610959516598816158	1.8386841884974738
exact/dp/5/tau	4716545484042350536	21533197.95732096
exact/dp/5/beta	4585299624839607031	0.03565761438765052
exact/dp/5/a	4625417150941054197	16.782782306724545
exact/dp/5/surrogate	4713303219437259601	13116018.539464625
exact/dp/5/ratio	4610072595111960599	1.64174805734911
exact/dp/6/tau	4723187558575209238	58999275.55248086
exact/dp/6/beta	4583642960081637969	0.027706096698880526
exact/dp/6/a	4628360182662643585	27.23853136115895
exact/dp/6/surrogate	4720617574214334716	39851399.93895146
exact/dp/6/ratio	4609346316821420180	1.4804818812604355
exact/dp/7/tau	4730046626624135311	171977803.48315856
exact/dp/7/beta	4581765063584189141	0.02119083441972232
exact/dp/7/a	4631583429556906877	45.37960938511876
exact/dp/7/surrogate	4728315709323726505	127305088.03496803
exact/dp/7/ratio	4608762780023214056	1.350910683443539
exact/dp/8/tau	4737773033932345046	536049913.96214044
exact/dp/8/beta	4580250310608853883	0.015935479326482743
exact/dp/8/a	4635171991390803494	77.75574962826121
exact/dp/8/surrogate	4735979632585484460	429154863.7428081
exact/dp/8/ratio	4608304187534354869	1.249082695433214
exact/dp/9/tau	4745314046449786198	1794633497.243978
exact/dp/9/beta	4577937571408659440	0.011768276678852246
exact/dp/9/a	4639034486325362754	137.29020796297306
exact/dp/9/surrogate	4744214002840360029	1532362662.9348366
exact/dp/9/ratio	4607953230344983266	1.171154544973597
exact/dp/10/tau	4753585531845093309	6476902577.009702
exact/dp/10/beta	4576067633731305456	0.008524451891332746
exact/dp/10/a	4643010112525366003	250.28430062336665
exact/dp/10/surrogate	4752893913971693651	5817324374.380939
exact/dp/10/ratio	4607693044640423068	1.1133817129973869
traj/dp/T_exit	4650351087250161843	811.7094047498161
traj/dp/T_mid	4652154987086760224	1016.789072739226
traj/dp/p_mid	4683350690032020221	125354.22605935852
traj/dp/x_no_frozen	4558020853508650452	0.0005292674108311976
exact/warm/0/tau	4645296297809970412	374.5231889729173
exact/warm/0/beta	4598376164999531130	0.26115471350036723
exact/warm/0/a	4603682283646461173	0.611406936322196
exact/warm/0/surrogate	4637794747379801824	115.02735394134243
exact/warm/0/ratio	4614514163974126885	3.2559489211922874
exact/warm/1/tau	4650058047406786055	778.3946316299852
exact/warm/1/beta	4597320187849408567	0.2262681031115805
exact/warm/1/a	4605695766267748213	0.8349484129057446
exact/warm/1/surrogate	4643208244955500361	255.9155629813852
exact/warm/1/ratio	4614031509437797387	3.0416072495231723
exact/warm/2/tau	4654916100252904435	1637.3825943793606
exact/warm/2/beta	4596163511964899314	0.19416389813630947
exact/warm/2/a	4607898209805532066	1.1589375310283931
exact/warm/2/surrogate	4648378260872233290	587.4250124693292
exact/warm/2/ratio	4613459063040029952	2.7873899810571174
exact/warm/3/tau	4659943419355221894	3512.9252325985026
exact/warm/3/beta	4595109582382004962	0.16491147590473704
exact/warm/3/a	4610050045842785995	1.6367411137838868
exact/warm/3/surrogate	4653845096361413884	1393.8645031571496
exact/warm/3/ratio	4612857579022792423	2.5202774191046617
exact/warm/4/tau	4665238559752000322	7745.752601210786
exact/warm/4/beta	4594159360551177628	0.13853752202758762
exact/warm/4/a	4612484302618426717	2.354509395634223
exact/warm/4/surrogate	4659752742496831215	3426.215436369988
exact/warm/4/ratio	4612273133201426395	2.2607313360940515
exact/warm/5/tau	4670588746759231368	17678.87735112713
exact/warm/5/beta	4592952858796493408	0.1150251856725304
exact/warm/5/a	4614960396199330306	3.45411583749251
exact/warm/5/surrogate	4666032725023092933	8744.083415203155
exact/warm/5/ratio	4611735130712190711	2.02181023575201
exact/warm/6/tau	4676011704858572485	42046.967976552936
exact/warm/6/beta	4591460502509286382	0.09431458178501348
exact/warm/6/a	4617511634291823407	5.174186292254304
exact/warm/6/surrogate	4672113460109872388	23225.752207648955
exact/warm/6/ratio	4610831954865229562	1.810359793759686
exact/warm/7/tau	4681941937880699679	104854.18417556256
exact/warm/7/beta	4590162756829050554	0.07630474260619283
exact/warm/7/a	4620608960141955154	7.925164271120666
exact/warm/7/surrogate	4679080249865629694	64373.57138511537
exact/warm/7/ratio	4610014457923466463	1.6288390082984774
exact/warm/8/tau	4688480857931014711	275743.9777312609
exact/warm/8/beta	4588931245885448305	0.06085704752393973
exact/warm/8/a	4623187073815521193	12.42997839903167
exact/warm/8/surrogate	4685654852089273094	186696.3939778434
exact/warm/8/ratio	4609330476705505008	1.4769646689800844
exact/warm/9/tau	4694851205209026253	768805.9839815736
exact/warm/9/beta	4587049537229366264	0.04780007080132259
exact/warm/9/a	4626321144810656042	19.994413692810816
exact/warm/9/surrogate	4693128569541783134	568264.7983889093
exact/warm/9/ratio	4608771743374173869	1.352900947166215
exact/warm/10/tau	4702158666035174972	2283721.5511815827
exact/warm/10/beta	4585483814360385351	0.0369356859305428
exact/warm/10/a	4629846913755744626	33.04092250463408
exact/warm/10/surrogate	4700572531233158139	1821135.988715409
exact/warm/10/ratio	4608326375198473488	1.254009346546642
traj/warm/T_exit	4651997398599473769	998.8733359582958
traj/warm/T_mid	4653257010086081969	1260.1491652572115
traj/warm/p_mid	4683913940516667654	136029.19872856903
traj/warm/x_no_frozen	4559868977339587994	0.0007296413980836692
exact/hot/0/tau	4604071725552797236	0.6546436734390171
exact/hot/0/beta	4602789982095210153	0.5123415636114333
exact/hot/0/a	4599231469880639378	0.3086336721044002
exact/hot/0/surrogate	4598980096705513810	0.2946796577645233
exact/hot/0/ratio	4612184890002349842	2.2215434835415033
exact/hot/1/tau	4608752264787958017	1.348575832185418
exact/hot/1/beta	4602072999164676587	0.46637023391863747
exact/hot/1/a	4600804605706964819	0.3959602528668615
exact/hot/1/surrogate	4603549464593962160	0.5966610593028658
exact/hot/1/ratio	4612271946196364734	2.2602041999541305
exact/hot/2/tau	4613455960628234186	2.786012233454106
exact/hot/2/beta	4601268676940612784	0.42172138129997006
exact/hot/2/a	4602810408325297323	0.5146093307063401
exact/hot/2/surrogate	4608261277815400699	1.2395548238405911
exact/hot/2/ratio	4612243543735806102	2.24759097368685
exact/hot/3/tau	4618196895525372441	5.7828205317496435
exact/hot/3/beta	4600492372751241109	0.3786278420423
exact/hot/3/a	4604282782713242326	0.6780757253428316
exact/hot/3/surrogate	4613141345600190482	2.6462950942432224
exact/hot/3/ratio	4612103167897235149	2.1852515784538356
exact/hot/4/tau	4623005803940929617	12.107978417523698
exact/hot/4/beta	4599748179860468846	0.33731683793741396
exact/hot/4/a	4606341563448071130	0.9066463027889953
exact/hot/4/surrogate	4618233382292504672	5.815227290921115
exact/hot/4/ratio	4611870927465405483	2.082116108587362
exact/hot/5/tau	4627932556010782699	25.719296305673122
exact/hot/5/beta	4599040009878326360	0.29800550696126527
exact/hot/5/a	4608224197914404543	1.2313214318732404
exact/hot/5/surrogate	4623607723386671672	13.177202141735606
exact/hot/5/ratio	4611468956260367465	1.9518025168797755
exact/hot/6/tau	4633050382979465022	55.80294036608983
exact/hot/6/beta	4598371503554982143	0.2608959513470523
exact/hot/6/a	4610336292569982344	1.7003006552352833
exact/hot/6/surrogate	4629376308261451158	30.848534675421966
exact/hot/6/ratio	4610825530323861829	1.8089332590098632
exact/hot/7/tau	4638465983092802513	124.56618713845025
exact/hot/7/beta	4597316649219094251	0.22616988639031574
exact/hot/7/a	4612564025987667107	2.3899136836867725
exact/hot/7/surrogate	4634961387634818581	74.76289024948376
exact/hot/7/ratio	4610182491544162293	1.6661499672200055
exact/hot/8/tau	4643776186243121397	288.1148504633596
exact/hot/8/beta	4596156995574375706	0.1939830319663905
exact/hot/8/a	4614891263748622934	3.4234148620828746
exact/hot/8/surrogate	4640818201694202317	187.98644788267703
exact/hot/8/ratio	4609581199359097906	1.532636281542875
exact/hot/9/tau	4649324973904796227	695.0538233712508
exact/hot/9/beta	4595093296749520614	0.16445945880086937
exact/hot/9/a	4617320007202989483	5.003987247322054
exact/hot/9/surrogate	4647355164021220879	491.55618339739243
exact/hot/9/ratio	4609046848394255944	1.4139865326632322
exact/hot/10/tau	4655452024655496088	1759.2376955563432
exact/hot/10/beta	4594128687683982287	0.1376861789427992
exact/hot/10/a	4620101004757798136	7.474009260741916
exact/hot/10/surrogate	4653608372177976349	1340.0396555026593
exact/hot/10/ratio	4608591257806555649	1.3128251006097573
traj/hot/T_exit	4653247435782818574	1257.9722207344053
traj/hot/T_mid	4654704562022379304	1589.2843694081039
traj/hot/p_mid	4684262142778552921	146163.21832312903
traj/hot/x_no_frozen	4562379455760949047	0.001027093527850865
exact/vhot/0/tau	4595673657044759250	0.18056769285967406
exact/vhot/0/beta	4603065370997745028	0.5429158736434805
exact/vhot/0/a	4599413220347536742	0.3187228497586915
exact/vhot/0/surrogate	4591007123227284585	0.08802268031293327
exact/vhot/0/ratio	4611801708915854140	2.0513768976101385
exact/vhot/1/tau	4600238450935165194	0.36453234970919424
exact/vhot/1/beta	4602679315901531331	0.5000551479844478
exact/vhot/1/a	4600947063468492160	0.4038682472110722
exact/vhot/1/surrogate	4595483984675832085	0.17530322708172066
exact/vhot/1/ratio	4611864898927863280	2.0794389001136935
exact/vhot/2/tau	4604839362666690292	0.7398685132791045
exact/vhot/2/beta	4601922179288162221	0.45799804894476887
exact/vhot/2/a	4602841511632897401	0.5180624915303006
exact/vhot/2/surrogate	4600119691189196348	0.35793985949053186
