# phase-6Q combustor-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
B/flow/1400/nu0	4606772882669196752	0.9545323558147008
B/flow/1400/pt4_steady	4693945508527672078	663369.0133441405
B/flow/1400/0/nu	4606772882669196752	0.9545323558147008
B/flow/1400/0/pt4	4693603610741572933	623566.872543492
B/flow/1400/0/Tt4	4653654379820828261	1350.5005823563781
B/flow/1400/0/pi_c	4620886132156841037	8.342684946574218
B/flow/1400/0/phi	4607273482111373069	1.0202201169931329
B/flow/1400/0/f	4582364470298484596	0.02327044421761522
B/flow/1400/0/mdot_c	4606946728423429965	0.9738331117230047
B/flow/1400/0/mdot_ngv	4606324821914327769	0.9047876191660534
B/flow/1400/0/Phi	13814016561345053836	-0.08299061198137475
B/flow/1400/0/dpt4_ds	4698482559092712774	1334526.4300368591
B/flow/1400/0/tau_t	4605737713907120171	0.8396055364116867
B/flow/1400/0/Tt3	4648077713324720520	553.2567122076152
B/flow/1400/0/split	4591967999091145048	0.10135751166123919
B/flow/1400/1/nu	4606772882669196752	0.9545323558147008
B/flow/1400/1/pt4	4693774559634622506	643467.9429438163
B/flow/1400/1/Tt4	4653760927967659586	1374.7268261130816
B/flow/1400/1/pi_c	4621036020904779845	8.60894084912446
B/flow/1400/1/phi	4607120847397517839	0.9931642011286516
B/flow/1400/1/f	4582547190095921305	0.02390438086189359
B/flow/1400/1/mdot_c	4606714110773318022	0.9480073646141569
B/flow/1400/1/mdot_ngv	4606507943916070390	0.925118245431064
B/flow/1400/1/Phi	13809642109188801002	-0.042391446590730755
B/flow/1400/1/dpt4_ds	4693941101260878216	662855.9399619559
B/flow/1400/1/tau_t	4605741998834082977	0.8400812588689811
B/flow/1400/1/Tt3	4648122899615192106	558.3937986797002
B/flow/1400/1/split	4587256714211868969	0.049237649902240506
B/flow/1400/2/nu	4606772882669196752	0.9545323558147008
B/flow/1400/2/pt4	4693945508527672078	663369.0133441405
B/flow/1400/2/Tt4	4653872080561899601	1400.000000000484
B/flow/1400/2/pi_c	4621185909652718652	8.8751967516747
B/flow/1400/2/phi	4606876652512496213	0.9660531227439814
B/flow/1400/2/f	4582740548490772399	0.024575227555544362
B/flow/1400/2/mdot_c	4606481018854440430	0.9221289630949607
B/flow/1400/2/mdot_ngv	4606685135762493860	0.9447904921985821
B/flow/1400/2/Phi	4426864632058657951	8.919452202730057e-13
