# phase-5L rung-41/42 surge-line + bleed oracle — key	u64 bits	repr
# pypy 3.11.15
r42/0.00/cpg/0.30/1500/mdot_air	4605701848297881134	0.8356236538947479
r42/0.00/cpg/0.30/1500/mdot_ratio	4605701848297881134	0.8356236538947479
r42/0.00/cpg/0.30/1500/thrust	4649715457946278746	739.4467192281547
r42/0.00/cpg/0.30/1500/V0	4636389520373051060	95.05787710652913
r42/0.00/cpg/0.30/1500/V9	4648603661270833835	613.0500710074169
r42/0.00/cpg/0.30/1500/M9	4607182418800017406	0.9999999999999998
r42/0.00/cpg/0.30/1500/T9	4652105052426895752	1011.1121591665296
r42/0.00/cpg/0.30/1500/p9	4685361904587520709	178170.4995541183
r42/0.00/cpg/0.30/1500/F_over_mdot	4650994913775569642	884.9040064647245
r42/0.00/cpg/0.30/1500/tsfc	4539971114843016577	3.283973896397574e-05
r42/0.00/cpg/0.30/1500/eta_th	4594638753698998450	0.15184335479154282
r42/0.00/cpg/0.30/1500/eta_p	4601695207937426922	0.4453986079689388
r42/0.00/cpg/0.30/1500/s2/Tt	4643158439260848128	254.5
r42/0.00/cpg/0.30/1500/s2/pt	4677328081534983276	51624.8688784175
r42/0.00/cpg/0.30/1500/s25/Tt	4645248680077729707	371.8164342739571
r42/0.00/cpg/0.30/1500/s25/pt	4685203214253231169	173552.00296983312
r42/0.00/cpg/0.30/1500/s3/Tt	4649179040935779327	678.4631656043929
r42/0.00/cpg/0.30/1500/s3/pt	4697779649847334291	1170867.6180051311
r42/0.00/cpg/0.30/1500/s4/Tt	4654311885213007872	1500.0
r42/0.00/cpg/0.30/1500/s4/pt	4697578496322243192	1124032.9132849257
r42/0.00/cpg/0.30/1500/s45/Tt	4653239169443246811	1256.0926727235117
r42/0.00/cpg/0.30/1500/s45/pt	4692057084904749333	483907.78476800147
r42/0.00/cpg/0.30/1500/s5/Tt	4652828771495902638	1162.778983041509
r42/0.00/cpg/0.30/1500/s5/pt	4689467005220375628	333145.30476111616
r42/0.00/cpg/0.30/1500/s9/Tt	4652828771495902638	1162.778983041509
r42/0.00/cpg/0.30/1500/s9/pt	4689352537365274432	326482.3986658938
r42/0.00/cpg/0.30/1500/s2/mdot	4605701848297881134	0.8356236538947479
r42/0.00/cpg/0.30/1500/s25/mdot	4605701848297881134	0.8356236538947479
r42/0.00/cpg/0.30/1500/s3/mdot	4605701848297881134	0.8356236538947479
r42/0.00/cpg/0.30/1500/s4/mdot	4605920572254226928	0.8599068911319687
r42/0.00/cpg/0.30/1500/s4/far	4584033200918390047	0.02906001658047785
r42/0.00/cpg/0.30/1500/booking_absent	4607182418800017408	1.0
r42/0.00/cpg/0.30/1500/bleed	13830554455654793216	-1.0
r42/0.00/cpg/0.30/1500/mdot_core	13830554455654793216	-1.0
r42/0.00/cpg/0.30/1500/st_inlet	13830554455654793216	-1.0
r42/0.00/cpg/0.30/1500/tsfc_inlet	13830554455654793216	-1.0
r42/0.00/cpg/0.50/400/abort	4618441417868443648	6.0
r42/0.00/cpg/0.50/500/abort	4620693217682128896	8.0
r42/0.00/cpg/0.50/600/abort	4620693217682128896	8.0
r42/0.00/cpg/0.50/650/abort	4620693217682128896	8.0
r42/0.00/cpg/0.50/900/abort	0	0.0
r42/0.00/cpg/0.50/900/n_pass	4620693217682128896	8.0
r42/0.00/cpg/0.50/900/pi_lpc	4611885048046051733	2.088386906089179
r42/0.00/cpg/0.50/900/pi_hpc	4616027083365950141	3.9278200984739144
r42/0.00/cpg/0.50/900/eta_lpc	4606153526233952583	0.8857699783289171
r42/0.00/cpg/0.50/900/eta_hpc	4606057657052924327	0.8751263611159644
r42/0.00/cpg/0.50/900/eta_hpt	4606461842859638129	0.92
r42/0.00/cpg/0.50/900/eta_lpt	4606281698874543309	0.9
r42/0.00/cpg/0.50/900/n_lp	4604896685061363752	0.7462325775184171
r42/0.00/cpg/0.50/900/n_hp	4605604175748359458	0.8247798225594674
r42/0.00/cpg/0.50/900/N_lp_ratio	4604613215891792418	0.7147611776354703
r42/0.00/cpg/0.50/900/N_hp_ratio	4604914080153539251	0.7481638207032887
r42/0.00/cpg/0.50/900/slip	4606780281923812923	0.9553538380986945
r42/0.00/cpg/0.50/900/phi_lp	4605069071245287929	0.7653712885704059
r42/0.00/cpg/0.50/900/phi_hp	4606660776071084563	0.9420860231710456
r42/0.00/cpg/0.50/900/nu_hpt	4606875051181348130	0.9658753392729162
r42/0.00/cpg/0.50/900/nu_lpt	4606486637089609975	0.9227527124992595
r42/0.00/cpg/0.50/900/tau_hpt	4605717804202370307	0.8373951151490079
r42/0.00/cpg/0.50/900/tau_lpt	4606513284257310084	0.9257111424114304
r42/0.00/cpg/0.50/900/tau_lpc	4608373024161819897	1.2643674971830576
r42/0.00/cpg/0.50/900/tau_hpc	4609643772326158611	1.5465302712928561
r42/0.00/cpg/0.50/900/pi_hpt	4601427004634511389	0.4305103338600718
r42/0.00/cpg/0.50/900/pi_lpt	4604376207078889679	0.6884479135231006
r42/0.00/cpg/0.50/900/mdot_air	4601616487134206580	0.4410287255563283
r42/0.00/cpg/0.50/900/mdot_ratio	4601616487134206580	0.4410287255563283
r42/0.00/cpg/0.50/900/thrust	4640968037682401614	192.2450428014949
r42/0.00/cpg/0.50/900/V0	4639778269427724694	158.42979517754856
r42/0.00/cpg/0.50/900/V9	4647061556763753479	474.8665430805999
r42/0.00/cpg/0.50/900/M9	4607182418800017403	0.9999999999999994
r42/0.00/cpg/0.50/900/T9	4648547517783730003	606.6672954999179
r42/0.00/cpg/0.50/900/p9	4679671271449420075	71811.63875568348
r42/0.00/cpg/0.50/900/F_over_mdot	4646376074872651291	435.90140882317945
r42/0.00/cpg/0.50/900/tsfc	4540046370839875325	3.3349693434518345e-05
r42/0.00/cpg/0.50/900/eta_th	4595065092750630018	0.16367664057699832
r42/0.00/cpg/0.50/900/eta_p	4604283293872481892	0.6781324754185332
r42/0.00/cpg/0.50/900/s2/Tt	4643325565028270080	262.5
r42/0.00/cpg/0.50/900/s2/pt	4678139857026256349	57531.31294515331
r42/0.00/cpg/0.50/900/s25/Tt	4644546400604337085	331.8964680105526
r42/0.00/cpg/0.50/900/s25/pt	4682992896206748893	120147.64064477706
r42/0.00/cpg/0.50/900/s3/Tt	4647726144239898355	513.2879347135007
r42/0.00/cpg/0.50/900/s3/pt	4691851107429085974	471918.3177087767
r42/0.00/cpg/0.50/900/s4/Tt	4651127699538968576	900.0
r42/0.00/cpg/0.50/900/s4/pt	4691526807630535168	453041.5850004256
r42/0.00/cpg/0.50/900/s45/Tt	4649840440615255303	753.655603634107
r42/0.00/cpg/0.50/900/s45/pt	4685941504736098680	195039.08401102922
r42/0.00/cpg/0.50/900/s5/Tt	4649347963078442296	697.6673898249055
r42/0.00/cpg/0.50/900/s5/pt	4683853640952720972	134274.25044284982
r42/0.00/cpg/0.50/900/s9/Tt	4649347963078442296	697.6673898249055
r42/0.00/cpg/0.50/900/s9/pt	4683761368390425459	131588.7654339928
r42/0.00/cpg/0.50/900/s2/mdot	4601616487134206580	0.4410287255563283
r42/0.00/cpg/0.50/900/s25/mdot	4601616487134206580	0.4410287255563283
r42/0.00/cpg/0.50/900/s3/mdot	4601616487134206580	0.4410287255563283
r42/0.00/cpg/0.50/900/s4/mdot	4601731983085912326	0.44744003879806404
r42/0.00/cpg/0.50/900/s4/far	4579533734550174716	0.014537178351927686
r42/0.00/cpg/0.50/900/booking_absent	4607182418800017408	1.0
r42/0.00/cpg/0.50/900/bleed	13830554455654793216	-1.0
r42/0.00/cpg/0.50/900/mdot_core	13830554455654793216	-1.0
r42/0.00/cpg/0.50/900/st_inlet	13830554455654793216	-1.0
r42/0.00/cpg/0.50/900/tsfc_inlet	13830554455654793216	-1.0
r42/0.00/cpg/0.50/1100/abort	0	0.0
r42/0.00/cpg/0.50/1100/n_pass	4620693217682128896	8.0
