# phase-3A NOx oracle — key	u64 bits	repr
# cpython 3.14.3
tno/0.01/2400.0/101325.0/0.003/1.0/x_no_eq	4580867187877438834	0.018075702285704272
tno/0.01/2400.0/101325.0/0.003/1.0/initial_rate	4613765544317411671	2.923495009363403
tno/0.01/2400.0/101325.0/0.003/1.0/char_time	4584685354049180062	0.03139525454460855
tno/0.01/2400.0/101325.0/0.003/1.0/ei_no	4640435557067592927	177.1110334900795
tno/0.01/2400.0/101325.0/0.003/1.0/frac_eq	4591384895855724036	0.0932653286900163
tno/0.01/2400.0/1500000.0/0.003/1.0/x_no	4573511169114929958	0.005951096352901064
tno/0.01/2400.0/1500000.0/0.003/1.0/x_no_eq	4580900166300208092	0.01819011917406131
tno/0.01/2400.0/1500000.0/0.003/1.0/initial_rate	4640106978716249789	167.77227506308364
tno/0.01/2400.0/1500000.0/0.003/1.0/char_time	4575851815577291745	0.008150067073023183
tno/0.01/2400.0/1500000.0/0.003/1.0/ei_no	4648697597317226860	623.729363069911
tno/0.01/2400.0/1500000.0/0.003/1.0/frac_eq	4599565227334307954	0.32716093258955603
tno/0.02717919071928212/1600.0/101325.0/0.003/1.0/x_no	4473412916075934367	1.2081150120246055e-09
tno/0.02717919071928212/1600.0/101325.0/0.003/1.0/x_no_eq	4564830978851792996	0.0015586828600491426
tno/0.02717919071928212/1600.0/101325.0/0.003/1.0/initial_rate	4524352771159835869	3.067252375900914e-06
tno/0.02717919071928212/1600.0/101325.0/0.003/1.0/char_time	4660729805551335649	3870.532272054916
tno/0.02717919071928212/1600.0/101325.0/0.003/1.0/ei_no	4542112431699801456	4.7349866389638224e-05
tno/0.02717919071928212/1600.0/101325.0/0.003/1.0/frac_eq	4515423717889845357	7.750871219476396e-07
tno/0.02717919071928212/1600.0/1500000.0/0.003/1.0/x_no	4482197981289798118	4.648715076096706e-09
tno/0.02717919071928212/1600.0/1500000.0/0.003/1.0/x_no_eq	4564831535109694111	0.0015588034792541128
tno/0.02717919071928212/1600.0/1500000.0/0.003/1.0/initial_rate	4550578147818341471	0.0001747225357427188
tno/0.02717919071928212/1600.0/1500000.0/0.003/1.0/char_time	4652059709547052198	1005.9572705439248
tno/0.02717919071928212/1600.0/1500000.0/0.003/1.0/ei_no	4550853821942517420	0.00018219469785095887
tno/0.02717919071928212/1600.0/1500000.0/0.003/1.0/frac_eq	4524152024682409035	2.982232935688029e-06
tno/0.02717919071928212/2000.0/101325.0/0.003/1.0/x_no	4527971016180672547	5.384580230064317e-06
tno/0.02717919071928212/2000.0/101325.0/0.003/1.0/x_no_eq	4573640962017427261	0.006063673750389684
tno/0.02717919071928212/2000.0/101325.0/0.003/1.0/initial_rate	4577459260314669406	0.010938539195287585
tno/0.02717919071928212/2000.0/101325.0/0.003/1.0/char_time	4614788460633777509	3.3777611080410446
tno/0.02717919071928212/2000.0/101325.0/0.003/1.0/ei_no	4596775651744905361	0.21115419008760175
tno/0.02717919071928212/2000.0/101325.0/0.003/1.0/frac_eq	4561329635349890248	0.000888006256886475
tno/0.02717919071928212/2000.0/1500000.0/0.003/1.0/x_no	4536739645175048848	2.0730013437201546e-05
tno/0.02717919071928212/2000.0/1500000.0/0.003/1.0/x_no_eq	4573647797672088980	0.006069602735697361
tno/0.02717919071928212/2000.0/1500000.0/0.003/1.0/initial_rate	4603793595581262680	0.6237650436154167
tno/0.02717919071928212/2000.0/1500000.0/0.003/1.0/char_time	4606081206301589040	0.8777408529239832
tno/0.02717919071928212/2000.0/1500000.0/0.003/1.0/ei_no	4605494807181170276	0.812637472413098
tno/0.02717919071928212/2000.0/1500000.0/0.003/1.0/frac_eq	4570021757807145317	0.0034153822482122947
tno/0.02717919071928212/2400.0/101325.0/0.003/1.0/x_no	4563986703453010470	0.0013756098157419266
tno/0.02717919071928212/2400.0/101325.0/0.003/1.0/x_no_eq	4579732146240965352	0.014881367769850454
tno/0.02717919071928212/2400.0/101325.0/0.003/1.0/initial_rate	4612550836650355156	2.384056441301462
tno/0.02717919071928212/2400.0/101325.0/0.003/1.0/char_time	4584728622878096630	0.03169549235780693
tno/0.02717919071928212/2400.0/101325.0/0.003/1.0/ei_no	4632824027967909673	54.19459127445436
tno/0.02717919071928212/2400.0/101325.0/0.003/1.0/frac_eq	4591325309311998899	0.0924383992799978
tno/0.02717919071928212/2400.0/1500000.0/0.003/1.0/x_no	4572225791344681113	0.004836208856126367
tno/0.02717919071928212/2400.0/1500000.0/0.003/1.0/x_no_eq	4579779035581956089	0.014962707810440167
tno/0.02717919071928212/2400.0/1500000.0/0.003/1.0/initial_rate	4639016220722113771	136.77106829485942
tno/0.02717919071928212/2400.0/1500000.0/0.003/1.0/char_time	4575894202354877835	0.008223596411172781
tno/0.02717919071928212/2400.0/1500000.0/0.003/1.0/ei_no	4640884667037598355	189.87550655987124
tno/0.02717919071928212/2400.0/1500000.0/0.003/1.0/frac_eq	4599494188580815838	0.32321748960117513
tno/0.0677/1600.0/101325.0/0.003/1.0/x_no	4450141658484978359	3.288576899563833e-11
