# slice S oracle (gas) — rungs 43+45 TwoSpoolFuelTransient — key	u64 bits (or an integer)	repr
T/tpg/at/50/pi_hpc	4618142048286250235	5.734106397581168
T/tpg/at/50/pi_lpc	4613595326887948626	2.8479032856104505
T/tpg/at/50/s	4607182418800017410	1.0000000000000004
T/tpg/at/50/sp_thrust	4649455609477176066	709.905368489068
T/tpg/last/Tt4	4654194194464935211	1473.2402220450556
T/tpg/last/branch_choked	1	1
T/tpg/last/f	4582563052520603805	0.023959414702858884
T/tpg/last/mdot_air	4606425964464443301	0.9160166979568102
T/tpg/last/mf	4581983078020450352	0.021947223941090666
T/tpg/last/mf_sched	4581983078020450352	0.021947223941090666
T/tpg/last/nu_hp	4606898089460442867	0.968433102062788
T/tpg/last/nu_lp	4606805441195507030	0.9581470783704542
T/tpg/last/phi_hp	4607009782706421009	0.9808335434007934
T/tpg/last/phi_lp	4606786366106615569	0.956029318082047
T/tpg/last/pi_hpc	4618142048286250235	5.734106397581168
T/tpg/last/pi_lpc	4613595326887948626	2.8479032856104505
T/tpg/last/s	4607182418800017410	1.0000000000000004
T/tpg/last/sp_thrust	4649455609477176066	709.905368489068
census/T/tpg/march/close_calls	204	204
census/T/tpg/march/eq_calls	0	0
census/T/tpg/march/eq_passes	0	0
census/T/tpg/march/hi_wall_hi0	0	0
census/T/tpg/march/hi_wall_literal	0	0
census/T/tpg/march/hi_wall_map	204	204
census/T/tpg/march/illinois_calls	243	243
census/T/tpg/march/illinois_evals	1677	1677
census/T/tpg/march/illinois_exhausted	0	0
census/T/tpg/march/instant_calls	204	204
census/T/tpg/march/interp_high	0	0
census/T/tpg/march/interp_low	0	0
census/T/tpg/march/interp_mid	0	0
census/T/tpg/march/lo_floor_hits	0	0
census/T/tpg/march/march_calls	1	1
census/T/tpg/march/march_points	51	51
census/T/tpg/march/rw_calls	204	204
census/T/tpg/march/rw_interior	0	0
census/T/tpg/march/rw_one	204	204
census/T/tpg/march/rw_zero	0	0
census/T/tpg/march/sched_calls	0	0
census/T/tpg/march/sched_dormant	0	0
census/T/tpg/march/surge_calls	0	0
census/T/tpg/march/surge_dormant	0	0
census/T/tpg/march/topping_calls	0	0
T/reacting/equilibrium_flag	0	0
T/reacting/0/mf	4580078806347965952	0.015482727195649026
T/reacting/0/eqf/M9	4607182418800017272	0.9999999999999849
T/reacting/0/eqf/Pc_hp	4688278067109841341	263939.99837603775
