# slice R oracle (equil) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
P/shaped/1400/Tt45	4652866698617649198	1171.4026121120073
P/shaped/1400/Tt5	4652471896336101970	1081.6349662832404
P/shaped/1400/branch_choked	1	1
P/shaped/1400/eta_hpc	4606100255064272368	0.8798556904161483
P/shaped/1400/eta_hpt	4606461842859638129	0.92
P/shaped/1400/eta_lpc	4606276554175153769	0.8994288236282958
P/shaped/1400/eta_lpt	4606281698874543309	0.9
P/shaped/1400/f	4581850517461677568	0.021487312114507162
P/shaped/1400/m_hp	4606803751522689729	0.9579594870038691
P/shaped/1400/m_imp	4606321182039571605	0.9043835118899489
P/shaped/1400/m_lp	4606321182039571680	0.9043835118899572
P/shaped/1400/mdot4	4606496216878159595	0.9238162826811424
P/shaped/1400/mdot_air	4606321182039571605	0.9043835118899489
P/shaped/1400/n_hp	4606916154307071838	0.9704387029291686
P/shaped/1400/n_lp	4606722436144356658	0.948931666475721
P/shaped/1400/nu_hp	4606826861696820564	0.9605252317461841
P/shaped/1400/nu_hpt	4607130519966079218	0.9942380719610624
P/shaped/1400/nu_lp	4606722436144356658	0.948931666475721
P/shaped/1400/nu_lpt	4607035733864069949	0.9837147006745465
P/shaped/1400/phi_hp	4607066592025958590	0.9871406448571844
P/shaped/1400/phi_lp	4606759570539219859	0.9530544124939858
P/shaped/1400/pi_hpc	4617976315588948390	5.586906192398976
P/shaped/1400/pi_hpt	4601467152110703289	0.4327389664825137
P/shaped/1400/pi_lpc	4613494857821290658	2.80328605718394
P/shaped/1400/pi_lpt	4604373126456508256	0.6881058957332975
P/shaped/1400/pt4	4697778586895153163	1170620.1301646258
P/shaped/1400/slip	4607073701663795941	0.9879299732195618
P/shaped/1400/sp_thrust	4649136158695736988	673.5880193395601
P/shaped/1400/tau_hpc	4610310657716272986	1.694608574271078
P/shaped/1400/tau_hpt	4605711688641574219	0.8367161515085767
P/shaped/1400/tau_lpc	4608891378156968032	1.3794652052470369
P/shaped/1400/tau_lpt	4606492173563880432	0.9233673846202901
P/shaped/1400/exit_noise	0	0
P/shaped/1400/passes	4	4
P/shaped/1400/powers_calls	13	13
P/shaped/1300/M9	4607182418800016892	0.9999999999999427
P/shaped/1300/Pc_hp	4688278024549207008	263937.52102106623
P/shaped/1300/Pc_lp	4681699768585432972	101330.1571199281
P/shaped/1300/Phi_hp	4435770752481405353	3.526955465972588e-12
P/shaped/1300/Phi_lp	4454561896598466349	6.469411567695355e-11
P/shaped/1300/Pt_hp	4688278024549227935	263937.52102228435
P/shaped/1300/Pt_lp	4681699768586010994	101330.15712833943
P/shaped/1300/Tt2	4643745586963694955	286.3754828060834
P/shaped/1300/Tt25	4645514554475711258	386.9296440427876
P/shaped/1300/Tt3	4648858660732299389	642.0401534021508
P/shaped/1300/Tt4	4653432275910787072	1300.0
P/shaped/1300/Tt45	4652483247825338173	1084.2159961126301
P/shaped/1300/Tt5	4652003666366646004	999.5858985876825
P/shaped/1300/branch_choked	1	1
P/shaped/1300/eta_hpc	4606096182104750150	0.879403501072155
P/shaped/1300/eta_hpt	4606461842859638129	0.92
P/shaped/1300/eta_lpc	4606261423408422597	0.8977489710677778
P/shaped/1300/eta_lpt	4606281698874543309	0.9
P/shaped/1300/f	4581131768807167322	0.018993651785895828
P/shaped/1300/m_hp	4606424934581717895	0.9159023580053692
P/shaped/1300/m_imp	4605517606738362003	0.8151687317476494
P/shaped/1300/m_lp	4605517606738362003	0.8151687317476494
P/shaped/1300/mdot4	4605657065483984691	0.8306517627852145
P/shaped/1300/mdot_air	4605517606738362003	0.8151687317476494
P/shaped/1300/n_hp	4606639428645976672	0.9397159828839214
P/shaped/1300/n_lp	4606273308738502808	0.8990685077788099
P/shaped/1300/nu_hp	4606466464807016962	0.9205131392398587
P/shaped/1300/nu_hpt	4607081445629638479	0.9887897261375914
P/shaped/1300/nu_lp	4606273308738502808	0.8990685077788099
P/shaped/1300/nu_lpt	4606901154406410036	0.9687733794209863
P/shaped/1300/phi_hp	4606954164659228496	0.9746586997430118
P/shaped/1300/phi_lp	4606341879960538088	0.906681442731835
P/shaped/1300/pi_hpc	4617517267522013699	5.179189605742525
P/shaped/1300/pi_hpt	4601453057049188573	0.4319565333911564
P/shaped/1300/pi_lpc	4613071977403524139	2.6154894265969424
P/shaped/1300/pi_lpt	4604367060390344208	0.6874324271008749
P/shaped/1300/pt4	4696944459566557228	1012492.8636791757
