cb/cpg/flow_press/1300/0.20/hp/m_phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1300/0.20/hp/m_phi/resid_last	-0x1.5bb737f9e83e8p-5
cb/cpg/flow_press/1300/0.30/lp/phi/feasible	0x1.5800000000000p+5
cb/cpg/flow_press/1300/0.30/lp/phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.30/lp/phi/goal	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.30/lp/phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.30/lp/phi/b_star	0x1.e1ec0388f5c28p-3
cb/cpg/flow_press/1300/0.30/lp/phi/goal	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.30/lp/phi/resid	0x1.437a000000000p-37
cb/cpg/flow_press/1300/0.30/lp/phi/bare_phi	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.30/lp/phi/bare_m_phi	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.30/lp/phi/bare_m_i	0x1.6dba1404c3b12p-1
cb/cpg/flow_press/1300/0.30/lp/m_phi/feasible	0x1.1000000000000p+5
cb/cpg/flow_press/1300/0.30/lp/m_phi/reason	0x0.0p+0
cb/cpg/flow_press/1300/0.30/lp/m_phi/goal	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.30/lp/m_phi/has_last	0x0.0p+0
cb/cpg/flow_press/1300/0.30/lp/m_phi/b_star	0x1.d9670a28f5c2ap-4
cb/cpg/flow_press/1300/0.30/lp/m_phi/goal	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.30/lp/m_phi/resid	0x1.5d40000000000p-44
cb/cpg/flow_press/1300/0.30/lp/m_phi/bare_phi	0x1.cfd274811655bp-1
cb/cpg/flow_press/1300/0.30/lp/m_phi/bare_m_phi	0x1.6c71b5cef9782p-2
cb/cpg/flow_press/1300/0.30/lp/m_phi/bare_m_i	0x1.6dba1404c3b12p-1
cb/cpg/flow_press/1300/0.30/hp/phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1300/0.30/hp/phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.30/hp/phi/goal	0x1.f371975b79861p-1
cb/cpg/flow_press/1300/0.30/hp/phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.30/hp/phi/b_last	0x1.ccccccccccccdp-2
cb/cpg/flow_press/1300/0.30/hp/phi/resid_last	-0x1.3c2180bdbe0d0p-3
cb/cpg/flow_press/1300/0.30/hp/m_phi/feasible	0x1.9000000000000p+4
cb/cpg/flow_press/1300/0.30/hp/m_phi/reason	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.30/hp/m_phi/goal	0x1.b3affb83bfd8ep-2
cb/cpg/flow_press/1300/0.30/hp/m_phi/has_last	0x1.0000000000000p+0
cb/cpg/flow_press/1300/0.30/hp/m_phi/b_last	0x1.ccccccccccccdp-2
