# phase-2 cycle oracle — key	u64 bits	repr
# cpython 3.14.3
r4_hot/st3/pt	4695142050327884362	802664.8120952335
r4_hot/st3/mdot	4607182418800017408	1.0
r4_hot/st3/far	0	0.0
r4_hot/st4/Tt	4655191494515228672	1700.0
r4_hot/st4/pt	4695142050327884362	802664.8120952335
r4_hot/st4/mdot	4607338881396555017	1.034741675433738
r4_hot/st4/far	4585167624124997932	0.034741675433738045
r4_hot/st5/Tt	4654320144284127812	1501.8778953562878
r4_hot/st5/pt	4691606322406183062	457669.9540989486
r4_hot/st5/mdot	4607338881396555017	1.034741675433738
r4_hot/st5/far	4585167624124997932	0.034741675433738045
r4_hot/st9/Tt	4654320144284127812	1501.8778953562878
r4_hot/st9/pt	4691606322406183062	457669.9540989486
r4_hot/st9/mdot	4607338881396555017	1.034741675433738
r4_hot/st9/far	4585167624124997932	0.034741675433738045
r4_hot/V0	4643453651052699634	269.7808475368648
r4_hot/V9	4653102022863758107	1224.9091508706977
r4_hot/M9	4611904797615609512	2.097157476828972
r4_hot/T9	4651115383210654402	898.5997955816204
r4_hot/p9	4677104761256804352	50000.0
r4_hot/F	4651986934446428975	997.6836994891981
r4_hot/tsfc	4540263694291549889	3.482233442475341e-05
r4_hot/eta_brayton	4602282045816692546	0.4779746542330835
r4_hot/eta_thermal	4602635226238459223	0.4975801060376929
r4_hot/eta_propulsive	4600225013042553176	0.3637863968201791
r4_hot/eta_overall	4595689696382272763	0.18101287390485496
r4_forkA_fb/st0/Tt	4645582630261764678	390.7993044637009
r4_forkA_fb/st0/pt	4684299337516103233	147245.727658676
r4_forkA_fb/st0/mdot	4632233691727265792	50.0
r4_forkA_fb/st0/far	0	0.0
r4_forkA_fb/st2/Tt	4645582630261764678	390.7993044637009
r4_forkA_fb/st2/pt	4684046371282195338	139883.4412757422
r4_forkA_fb/st2/mdot	4632233691727265792	50.0
r4_forkA_fb/st2/far	0	0.0
r4_forkA_fb/st3/Tt	4650022958462067947	774.4054804659949
r4_forkA_fb/st3/pt	4698758759775369324	1398834.4127574218
r4_forkA_fb/st3/mdot	4632233691727265792	50.0
r4_forkA_fb/st3/far	0	0.0
r4_forkA_fb/st4/Tt	4655631299166339072	1800.0
r4_forkA_fb/st4/pt	4698458362372603699	1328892.6921195507
r4_forkA_fb/st4/mdot	4632464043829338189	51.63675012794611
r4_forkA_fb/st4/far	4584878432086237131	0.03273500255892222
r4_forkA_fb/st5/Tt	4654303890211980652	1498.1821472312686
r4_forkA_fb/st5/pt	4692706281896012954	521696.0231015176
r4_forkA_fb/st5/mdot	4632464043829338189	51.63675012794611
r4_forkA_fb/st5/far	4584878432086237131	0.03273500255892222
r4_forkA_fb/st9/Tt	4654303890211980652	1498.1821472312686
r4_forkA_fb/st9/pt	4692437401813092040	506045.142408472
r4_forkA_fb/st9/mdot	4632464043829338189	51.63675012794611
r4_forkA_fb/st9/far	4584878432086237131	0.03273500255892222
r4_forkA_fb/V0	4648412827703214617	591.3548061736539
r4_forkA_fb/V9	4653908134028997337	1408.197609326968
r4_forkA_fb/M9	4613355181410036769	2.7412572700755082
r4_forkA_fb/T9	4649213933010509376	682.4299352419985
r4_forkA_fb/p9	4670883174711033856	18750.0
r4_forkA_fb/F	4650801717699341303	862.9401554981004
r4_forkA_fb/tsfc	4540722934532360741	3.793426734212774e-05
r4_forkA_fb/eta_brayton	4602595155067793402	0.495355709222849
r4_forkA_fb/eta_thermal	4603634070091875866	0.606054156482233
