# phase-5J component-map matcher oracle — key	u64 bits	repr
# pypy 3.11.15
map/press/eta_c/6/2	4606061022042442192	0.87549995
map/press/eta_c/6/3	4606100833863148147	0.87991995
map/press/eta_c/6/4	4606101554439088526	0.87999995
map/press/eta_c/6/5	4606100833863148147	0.87991995
map/press/eta_c/6/6	4606061022042442192	0.87549995
map/press/eta_c/6/7	4605453036092747174	0.8079999499999999
map/press/eta_c/7/0	4605217723462577029	0.781875
map/press/eta_c/7/1	4605812198613389934	0.8478749999999999
map/press/eta_c/7/2	4606059896592895312	0.875375
map/press/eta_c/7/3	4606099708413601267	0.879795
map/press/eta_c/7/4	4606100428989541646	0.879875
map/press/eta_c/7/5	4606099708413601267	0.879795
map/press/eta_c/7/6	4606059896592895312	0.875375
map/press/eta_c/7/7	4605451910643200294	0.8078749999999999
map/press/eta_c/8/0	4605178316965837538	0.7775000000000001
map/press/eta_c/8/1	4605772792116650443	0.8435
map/press/eta_c/8/2	4606020490096155821	0.8710000000000001
map/press/eta_c/8/3	4606060301916861776	0.8754200000000001
map/press/eta_c/8/4	4606061022492802155	0.8755000000000001
map/press/eta_c/8/5	4606060301916861776	0.8754200000000001
map/press/eta_c/8/6	4606020490096155821	0.8710000000000001
map/press/eta_c/8/7	4605412504146460803	0.8035
map/press/eta_c/9/0	4604854057792666862	0.7415
map/press/eta_c/9/1	4605448532943479767	0.8075
map/press/eta_c/9/2	4605696230922985145	0.8350000000000001
map/press/eta_c/9/3	4605736042743691100	0.83942
map/press/eta_c/9/4	4605736763319631479	0.8395
map/press/eta_c/9/5	4605736042743691100	0.83942
map/press/eta_c/9/6	4605696230922985145	0.8350000000000001
map/press/eta_c/9/7	4605088244973290127	0.7675
map/press/eta_t/0	4606216847039909174	0.8928
map/press/eta_t/1	4606270439875474883	0.89875
map/press/eta_t/2	4606281248514580572	0.89995
map/press/eta_t/3	4606281698874543309	0.9
map/press/eta_t/4	4606281248514580572	0.89995
map/press/eta_t/5	4606252875836928138	0.8968
map/tilt/psi/0	4603723654286196866	0.6159999999999999
map/tilt/psi/1	4606088044090566378	0.8785000000000001
map/tilt/psi/2	4606966246017903624	0.976
map/tilt/psi/3	4607168908001135296	0.9984999999999999
map/tilt/psi/4	4607182413395697855	0.9999994
map/tilt/psi/5	4607182418800017408	1.0
map/tilt/psi/6	4607182413395697855	0.9999994
map/tilt/psi/7	4607168908001135296	0.9984999999999999
map/tilt/psi/8	4606696030040261394	0.946
map/tilt/psi/9	4602804919962213287	0.5140000000000001
map/tilt/eta_c/0/0	4604476656143893215	0.6996000000000001
map/tilt/eta_c/0/1	4605006279460071985	0.7584000000000001
map/tilt/eta_c/0/2	4605299013435851066	0.7908999999999999
map/tilt/eta_c/0/3	4605397840426074085	0.801872
map/tilt/eta_c/0/4	4605409801986684381	0.8032
map/tilt/eta_c/0/5	4605420898856166221	0.8044319999999999
map/tilt/eta_c/0/6	4605471951661542093	0.8100999999999999
map/tilt/eta_c/0/7	4605366567430261624	0.7984
map/tilt/eta_c/1/0	4605126075210160040	0.7717
map/tilt/eta_c/1/1	4605580038052598986	0.8221
map/tilt/eta_c/1/2	4605809721633594881	0.8476
map/tilt/eta_c/1/3	4605875762418530641	0.8549319999999999
map/tilt/eta_c/1/4	4605882679947558283	0.8557
map/tilt/eta_c/1/5	4605888732785457469	0.856372
map/tilt/eta_c/1/6	4605906999385546083	0.8583999999999999
map/tilt/eta_c/1/7	4605688124443655877	0.8341
map/tilt/eta_c/2/0	4605427816385193863	0.8052
map/tilt/eta_c/2/1	4605827736032104363	0.8496
map/tilt/eta_c/2/2	4606012383616826553	0.8701
map/tilt/eta_c/2/3	4606055005683699987	0.8748319999999999
map/tilt/eta_c/2/4	4606058320333025732	0.8752
map/tilt/eta_c/2/5	4606060770291223021	0.8754719999999999
map/tilt/eta_c/2/6	4606055618173249309	0.8748999999999999
map/tilt/eta_c/2/7	4605755678438066435	0.8416
map/tilt/eta_c/3/0	4605544009255580022	0.8181
map/tilt/eta_c/3/1	4605911502985173454	0.8589
map/tilt/eta_c/3/2	4606069128972131421	0.8764
map/tilt/eta_c/3/3	4606097699808167460	0.879572
map/tilt/eta_c/3/4	4606098852729672067	0.8797
map/tilt/eta_c/3/5	4606099140960048218	0.879732
map/tilt/eta_c/3/6	4606079937611237111	0.8776
map/tilt/eta_c/3/7	4605731359000078634	0.8389
map/tilt/eta_c/4/0	4605571426089247543	0.82114388
map/tilt/eta_c/4/1	4605928327352517399	0.8607678799999999
map/tilt/eta_c/4/2	4606077126284205720	0.8772878799999999
map/tilt/eta_c/4/3	4606101107051501542	0.8799502799999999
map/tilt/eta_c/4/4	4606101553808584578	0.87999988
map/tilt/eta_c/4/5	4606101135874539158	0.87995348
map/tilt/eta_c/4/6	4606077342456987834	0.8773118799999999
map/tilt/eta_c/4/7	4605712875146343995	0.83684788
map/tilt/eta_c/5/0	4605571931573269719	0.8212
map/tilt/eta_c/5/1	4605928616663757462	0.8608
map/tilt/eta_c/5/2	4606077235451460688	0.8773
map/tilt/eta_c/5/3	4606101122543884261	0.879952
map/tilt/eta_c/5/4	4606101554889448489	0.88
map/tilt/eta_c/5/5	4606101122543884261	0.879952
map/tilt/eta_c/5/6	4606077235451460688	0.8773
map/tilt/eta_c/5/7	4605712443881643678	0.8368
map/tilt/eta_c/6/0	4605572434895564073	0.8212558799999999
map/tilt/eta_c/6/1	4605928903813269703	0.86083188
map/tilt/eta_c/6/2	4606077342456987834	0.8773118799999999
map/tilt/eta_c/6/3	4606101135874539158	0.87995348
map/tilt/eta_c/6/4	4606101553808584578	0.87999988
map/tilt/eta_c/6/5	4606101107051501542	0.8799502799999999
map/tilt/eta_c/6/6	4606077126284205720	0.8772878799999999
map/tilt/eta_c/6/7	4605712010455215539	0.8367518799999999
map/tilt/eta_c/7/0	4605594449571406572	0.8237000000000001
map/tilt/eta_c/7/1	4605940326022788626	0.8621000000000001
map/tilt/eta_c/7/2	4606079937611237111	0.8776
map/tilt/eta_c/7/3	4606099140960048218	0.879732
map/tilt/eta_c/7/4	4606098852729672067	0.8797
map/tilt/eta_c/7/5	4606097699808167460	0.879572
map/tilt/eta_c/7/6	4606069128972131421	0.8764
map/tilt/eta_c/7/7	4605688124443655878	0.8341000000000001
map/tilt/eta_c/8/0	4605625974768798165	0.8272
