# phase-6P spool-transient oracle — key	u64 bits (or an integer)	repr
# pypy 3.11.15
eq/flow_dom/520/V0	4643453651052699634	269.7808475368648
eq/press_dom/1500/branch	0	0
eq/press_dom/1500/nu	4607182418799998929	0.9999999999979484
eq/press_dom/1500/n	4607182418799998929	0.9999999999979484
eq/press_dom/1500/pi_c	4621819117588931346	9.999999999928637
eq/press_dom/1500/tau_c	4611770577926465714	2.0375519611307817
eq/press_dom/1500/mdot_air	4607182418799952856	0.9999999999928333
eq/press_dom/1500/f	4583515894746806934	0.027265250260252026
eq/press_dom/1500/pi_t	4601396903998884109	0.4288394129236089
eq/press_dom/1500/tau_t	4605762360027409860	0.8423418054330161
eq/press_dom/1500/Tt3	4648343779432371109	583.5049266113098
eq/press_dom/1500/Tt5	4653271803104164453	1263.512708149524
eq/press_dom/1500/flowcoef	4607182418799971336	0.999999999994885
eq/press_dom/1500/Phi	4378827793565617778	5.751343654765814e-16
eq/press_dom/1500/sp_thrust	4649771419385843401	745.8087983266097
eq/press_dom/1500/M9	4607182418800016934	0.9999999999999474
eq/press_dom/1500/pt9_over_p0	4618759410625772348	6.28243430468029
eq/press_dom/1500/eta_c	4606101554889448489	0.88
eq/press_dom/1500/eta_t	4606281698874543309	0.9
eq/press_dom/1500/nu_t	4607182418799998929	0.9999999999979484
eq/press_dom/1500/p_net_spec	4460815430910476288	1.7462298274040222e-10
eq/press_dom/1500/m	4607182418799952857	0.9999999999928334
eq/press_dom/1500/thrust	4649771419385796386	745.8087983212647
eq/press_dom/1500/Tt2	4643745586963694955	286.3754828060834
eq/press_dom/1500/pt2	4680086807681088516	77858.48677323764
eq/press_dom/1500/V0	4643453651052699634	269.7808475368648
eq/press_dom/1300/branch	0	0
eq/press_dom/1300/nu	4606564628289753899	0.9314114751110528
eq/press_dom/1300/n	4606564628289753899	0.9314114751110528
eq/press_dom/1300/pi_c	4620515101733517594	7.841801258239025
eq/press_dom/1300/tau_c	4611226559925006460	1.8979797183592657
eq/press_dom/1300/mdot_air	4605820409451884395	0.8487865861948029
eq/press_dom/1300/f	4581979107800839153	0.021933449474762005
eq/press_dom/1300/pi_t	4601376914611301755	0.4277297790065046
eq/press_dom/1300/tau_t	4605728356380512949	0.8385666422623986
eq/press_dom/1300/Tt3	4647992198992532549	543.534858201289
eq/press_dom/1300/Tt5	4652509287070281312	1090.1366349411182
eq/press_dom/1300/flowcoef	4606383396179235564	0.9112906689211662
eq/press_dom/1300/Phi	4366571310363795854	8.735243010623103e-17
eq/press_dom/1300/sp_thrust	4648747466127989470	629.3987904664498
eq/press_dom/1300/M9	4607182418800017453	1.00000000000001
eq/press_dom/1300/pt9_over_p0	4617218479477021323	4.913812512115906
eq/press_dom/1300/eta_c	4606089536183380295	0.8786656555796889
eq/press_dom/1300/eta_t	4606281698830150498	0.8999999950714079
eq/press_dom/1300/nu_t	4607184654462384519	1.000496416767051
