# phase-3B finite-quench oracle — key	u64 bits	repr
# cpython 3.14.3
traj/dp1/0.8/16/a	4604939656024084920	0.7510033127387521
traj/dp1/0.8/16/T	4655525724736284672	1775.9951538057067
traj/dp1/0.8/16/cO	4558191152540423896	0.0005477312688532921
traj/dp1/0.8/16/cN2	4630560483030692029	38.11113715238887
traj/dp1/0.8/16/cH	4532242073526957132	1.0375218512709759e-05
traj/dp1/0.8/16/cNOe	4594040592337965385	0.13524104190504208
traj/dp1/0.8/16/ntot_local	4607351032400783990	1.0374397403672027
traj/dp1/0.8/16/V	4580026678277030248	0.015392299407239476
traj/dp1/0.8/17/a	4605079828697580700	0.76656560569258
traj/dp1/0.8/17/T	4655436191879964672	1755.6377391912974
traj/dp1/0.8/17/cO	4557103701852974200	0.0004590554395364553
traj/dp1/0.8/17/cN2	4630626705147651155	38.5816735939085
traj/dp1/0.8/17/cH	4530745396733787715	7.839749402298947e-06
traj/dp1/0.8/17/cNOe	4593815938932249845	0.12900565731539584
traj/dp1/0.8/17/ntot_local	4607347566472795294	1.036670149756254
traj/dp1/0.8/17/V	4580100088862129509	0.015519646472596358
traj/dp1/0.8/18/a	4605220001371076480	0.782127898646408
traj/dp1/0.8/18/T	4655349661209884672	1735.9629426966421
traj/dp1/0.8/18/cO	4555741984482905240	0.0003852365929894546
traj/dp1/0.8/18/cN2	4630692156095620594	39.04673055019147
traj/dp1/0.8/18/cH	4528632014889000968	5.944467914111025e-06
traj/dp1/0.8/18/cNOe	4593529885340484409	0.12303303760951402
traj/dp1/0.8/18/ntot_local	4607344244178356850	1.0359324522002251
traj/dp1/0.8/18/V	4580166908486445558	0.015646120087106717
traj/dp1/0.8/19/a	4605360174044572261	0.797690191600236
traj/dp1/0.8/19/T	4655265990571804672	1716.938442189712
traj/dp1/0.8/19/cO	4554607303708199874	0.00032372542493879994
traj/dp1/0.8/19/cN2	4630756846298629005	39.506382088416196
traj/dp1/0.8/19/cH	4526953531258982310	4.522736978058224e-06
traj/dp1/0.8/19/cNOe	4593118315503091262	0.11732135873807523
traj/dp1/0.8/19/ntot_local	4607341056252594728	1.0352245904838444
traj/dp1/0.8/19/V	4580203125805087936	0.01577177415287845
traj/dp1/0.8/20/a	4605500346718068042	0.8132524845540641
traj/dp1/0.8/20/T	4655185045476124672	1698.5336582758464
traj/dp1/0.8/20/cO	4553660785122666578	0.0002724145496021446
traj/dp1/0.8/20/cN2	4630820786642594841	39.960705557685465
traj/dp1/0.8/20/cH	4525262513161184791	3.4525431002227155e-06
traj/dp1/0.8/20/cNOe	4592725255688368492	0.11186655803357376
traj/dp1/0.8/20/ntot_local	4607337994284915039	1.0345446970801147
traj/dp1/0.8/20/V	4580239120884611577	0.015896657171817073
traj/dp1/0.8/21/a	4605640519391563822	0.828814777507892
traj/dp1/0.8/21/T	4655106698803484672	1680.7196873589419
traj/dp1/0.8/21/cO	4552601393941438847	0.00022956273179609504
traj/dp1/0.8/21/cN2	4630883988333102655	40.40978057846632
traj/dp1/0.8/21/cH	4523353928126776689	2.644225896832643e-06
traj/dp1/0.8/21/cNOe	4592350292200425281	0.10666289431221988
traj/dp1/0.8/21/ntot_local	4607335050611445602	1.0338910702675652
traj/dp1/0.8/21/V	4580274906360494966	0.016020812982044906
traj/dp1/0.8/22/a	4605780692065059602	0.84437707046172
traj/dp1/0.8/22/T	4655030830492444672	1663.4692306281067
traj/dp1/0.8/22/cO	4551279453656517163	0.00019373146857589013
traj/dp1/0.8/22/cN2	4630946462766987711	40.85368813014383
traj/dp1/0.8/22/cH	4521907562418077911	2.0316661923093027e-06
traj/dp1/0.8/22/cNOe	4591992922649408286	0.1017033955142321
traj/dp1/0.8/22/ntot_local	4607332218225059127	1.0332621541513853
traj/dp1/0.8/22/V	4580310493713213405	0.016144281414461992
traj/dp1/0.8/23/a	4605920864738555383	0.859939363415548
traj/dp1/0.8/23/T	4654957327193884672	1646.7565154773183
traj/dp1/0.8/23/cO	4550172675157374500	0.0001637321772451221
traj/dp1/0.8/23/cN2	4631008221436329683	41.29250986885531
traj/dp1/0.8/23/cH	4520001745251991347	1.5659349297813662e-06
traj/dp1/0.8/23/cNOe	4591652581537955637	0.09698021378721651
traj/dp1/0.8/23/ntot_local	4607329490699456440	1.0326565218065138
traj/dp1/0.8/23/V	4580345893421101962	0.016267098823095995
traj/dp1/0.8/24/a	4606061037412051164	0.875501656369376
traj/dp1/0.8/24/T	4654886081902364672	1630.5572116863914
traj/dp1/0.8/24/cO	4549244812024390429	0.0001385823966313587
traj/dp1/0.8/24/cN2	4631069275863771783	41.726327667905075
traj/dp1/0.8/24/cH	4518324193564291785	1.2106995422304698e-06
traj/dp1/0.8/24/cNOe	4591328660479412627	0.09248490607027397
traj/dp1/0.8/24/ntot_local	4607326862124613727	1.0320728609440477
traj/dp1/0.8/24/V	4580381115079464023	0.016389298498343
traj/dp1/0.8/25/a	4606201210085546944	0.891063949323204
traj/dp1/0.8/25/T	4654816993613084672	1614.8483534227125
traj/dp1/0.8/25/cO	4548296149924401512	0.00011746958569364629
traj/dp1/0.8/25/cN2	4631129637534054981	42.1552231312858
traj/dp1/0.8/25/cH	4516970792053723928	9.388899705290206e-07
traj/dp1/0.8/25/cNOe	4591020524305633551	0.08820865763465612
traj/dp1/0.8/25/ntot_local	4607324327051507020	1.0315099616376129
traj/dp1/0.8/25/V	4580416167515581477	0.01651091106598925
traj/dp1/0.8/26/a	4606341382759042725	0.906626242277032
traj/dp1/0.8/26/T	4654749966958364672	1599.6082565863617
traj/dp1/0.8/26/cO	4546986553658505815	9.972124673660855e-05
traj/dp1/0.8/26/cN2	4631189317860489540	42.579277355444475
traj/dp1/0.8/26/cH	4515000434596513682	7.302702600133602e-07
traj/dp1/0.8/26/cNOe	4590727523611370205	0.08414245617212708
traj/dp1/0.8/26/ntot_local	4607321880444456512	1.030966705741676
traj/dp1/0.8/26/V	4580451058869399978	0.016631964767144382
traj/dp1/0.8/27/a	4606481555432538506	0.9221885352308601
traj/dp1/0.8/27/T	4654684911874844672	1584.8164431401528
