# phase-4F recombination-march oracle — key	u64 bits	repr
# cpython 3.14.3
fr100/cold/da1/comp/O2	4594424333780636192	0.1458920065339422
fr100/cold/da1/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da1/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da3/T9	4649287368378700200	690.7785700285358
fr100/cold/da3/V9	4651232486200156148	911.9128641458215
fr100/cold/da3/dS	13777171158243737600	-0.00027991377362468484
fr100/cold/da3/comp/CO2	4586280092406522798	0.04246097481070109
fr100/cold/da3/comp/H2O	4586280078063747125	0.042460875287702406
fr100/cold/da3/comp/CO	4464620640754960524	3.131400599552649e-10
fr100/cold/da3/comp/H2	4460943084060754533	1.7792273933544855e-10
fr100/cold/da3/comp/OH	4506625943725482576	1.993152164722866e-07
fr100/cold/da3/comp/O	4473592343721937133	1.2452197795569844e-09
fr100/cold/da3/comp/H	4428553939713071471	1.2155487027301862e-12
fr100/cold/da3/comp/O2	4594424345097574275	0.1458923206420729
fr100/cold/da3/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da3/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da10/T9	4649287365687066366	690.7782640251969
fr100/cold/da10/V9	4651232500226845803	911.914458795812
fr100/cold/da10/dS	13778041931804704768	-0.00032711850295186196
fr100/cold/da10/comp/CO2	4586280092451609507	0.04246097512355298
fr100/cold/da10/comp/H2O	4586280092427539562	0.042460974956534184
fr100/cold/da10/comp/CO	4419235690097781893	2.8818314566707906e-13
fr100/cold/da10/comp/H2	4415643410503019758	1.6709652470136268e-13
fr100/cold/da10/comp/OH	4465029520624913354	3.342786537857764e-10
fr100/cold/da10/comp/O	4428299480874080292	1.1641611494327605e-12
fr100/cold/da10/comp/H	4383129029566658043	1.1103595425904946e-15
fr100/cold/da10/comp/O2	4594424346903397205	0.14589237076372777
fr100/cold/da10/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da10/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da30/T9	4649287362551473282	690.7779075495348
fr100/cold/da30/V9	4651232504036416141	911.9148918938168
fr100/cold/da30/dS	13778353513727262720	-0.00034400939281908904
fr100/cold/da30/comp/CO2	4586280092451651036	0.042460975123841144
fr100/cold/da30/comp/H2O	4586280092449910967	0.04246097511176699
fr100/cold/da30/comp/CO	4350861300132113135	7.53063216953848e-18
fr100/cold/da30/comp/H2	4364420862573550939	6.084611463055715e-17
fr100/cold/da30/comp/OH	4448022740841869714	2.4148207562217163e-11
fr100/cold/da30/comp/O	4374391477022638524	2.9088449491697425e-16
fr100/cold/da30/comp/H	4288660976564542688	5.395736240693637e-22
fr100/cold/da30/comp/O2	4594424346906203368	0.14589237084161444
fr100/cold/da30/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da30/comp/Ar	4576516852069590693	0.009303721488595438
fr100/cold/da300/T9	4649287361286313342	690.777763717502
fr100/cold/da300/V9	4651232505567221727	911.9150659262631
fr100/cold/da300/dS	13778478769587093504	-0.00035079952658634284
fr100/cold/da300/comp/CO2	4586280092451651039	0.042460975123841165
fr100/cold/da300/comp/H2O	4586280092450510002	0.04246097511592363
fr100/cold/da300/comp/CO	4344435368094688611	2.8769260080436e-18
fr100/cold/da300/comp/H2	4359634251485845917	2.86788645278769e-17
fr100/cold/da300/comp/OH	4445449932256264157	1.5835014664471486e-11
fr100/cold/da300/comp/O	4369387044486588070	1.3309576303018262e-16
fr100/cold/da300/comp/H	4279789610687343632	1.3808683337641407e-22
fr100/cold/da300/comp/O2	4594424346906278249	0.1458923708436928
fr100/cold/da300/comp/N2	4605210854977551093	0.7811124449779913
fr100/cold/da300/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da003/T9	4650350998156320196	811.6992759526988
fr100/dp/da003/V9	4652288376363567775	1039.9073556108995
fr100/dp/da003/dS	13781460708547887104	-0.0005366202731238445
fr100/dp/da003/comp/CO2	4588247562344465973	0.05611303996921572
fr100/dp/da003/comp/H2O	4588245338134555324	0.056097606412625706
fr100/dp/da003/comp/CO	4508869380033826156	2.789783831076088e-07
fr100/dp/da003/comp/H2	4502737038797365149	1.0779302484192334e-07
fr100/dp/da003/comp/OH	4539730220046016990	3.120737232492945e-05
fr100/dp/da003/comp/O	4512979051903940349	5.162480425609572e-07
fr100/dp/da003/comp/H	4477179896817568847	2.1115715934885877e-09
fr100/dp/da003/comp/O2	4593686247215286878	0.12540598905850947
fr100/dp/da003/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da003/comp/Ar	4576516852069590693	0.009303721488595438
fr100/dp/da03/T9	4650351258272123868	811.7288476958597
fr100/dp/da03/V9	4652288410420497771	1039.915099260247
fr100/dp/da03/dS	13773675028358889472	-0.0001672644089012465
fr100/dp/da03/comp/CO2	4588247571839540595	0.05611310585453113
fr100/dp/da03/comp/H2O	4588245865784251486	0.0561012677178858
fr100/dp/da03/comp/CO	4507146456228534735	2.1309306770800482e-07
fr100/dp/da03/comp/H2	4500816576751643402	8.237592130008405e-08
fr100/dp/da03/comp/OH	4537685913519474684	2.39360952958914e-05
fr100/dp/da03/comp/O	4511051267309094470	3.9448653369180723e-07
fr100/dp/da03/comp/H	4475367374647823004	1.612287571700695e-09
fr100/dp/da03/comp/O2	4593686313253332945	0.1254078219824906
fr100/dp/da03/comp/N2	4605210854977551093	0.7811124449779913
fr100/dp/da03/comp/Ar	4576516852069590693	0.009303721488595438
