# slice R oracle (cpython) — rungs 40+44 TwoSpoolTransient — key	u64 bits (or an integer)	repr
G/r44/50/slip	4607340626198663267	1.0351290993285367
G/r44/50/pi_lpc	4612896107086066332	2.537387316281025
G/r44/50/pi_hpc	4617278468085771322	4.967093099835489
G/r44/50/phi_lp	4605364882188069476	0.7982129005316208
G/r44/50/phi_hp	4606530772927653769	0.9276527748599942
G/r44/50/mdot_air	4604711738939128669	0.7256994331963643
G/r44/50/f	4583428612142033452	0.026962427893162097
G/r44/50/Phi_lp	4590736543437083501	0.08426763139943967
G/r44/50/Phi_hp	4590934623629592441	0.08701654628000978
G/r44/50/sp_thrust	4648928310461986764	649.9584109184739
G/r44/51/s	4607272490792564820	1.0200000000000005
G/r44/51/nu_lp	4606379148753848454	0.9108191099751515
G/r44/51/nu_hp	4606101786073835752	0.8800256666229673
G/r44/51/Tt4	4653872080561897472	1400.0
G/r44/51/slip	4607340006635538763	1.03499152867933
G/r44/51/pi_lpc	4612913239372067670	2.5449955796342847
G/r44/51/pi_hpc	4617291926095946402	4.9790462140451
G/r44/51/phi_lp	4605390770469770352	0.8010870771728502
G/r44/51/phi_hp	4606542427022292860	0.9289466392799421
G/r44/51/mdot_air	4604747281216304367	0.7296454186431712
G/r44/51/f	4583421148221742275	0.026936532217658248
G/r44/51/Phi_lp	4590582248802219646	0.08212636319691488
G/r44/51/Phi_hp	4590819811933657655	0.0854232139259715
G/r44/51/sp_thrust	4648935531370723742	650.7793331982573
G/r44/52/s	4607362562785112230	1.0400000000000005
G/r44/52/nu_lp	4606393753167302490	0.9124405255829331
G/r44/52/nu_hp	4606117032289337985	0.8817183365718649
G/r44/52/Tt4	4653872080561897472	1400.0
G/r44/52/slip	4607339340158282679	1.0348435410003114
G/r44/52/pi_lpc	4612929999922160561	2.552438759081689
G/r44/52/pi_hpc	4617305161731305275	4.990801819741871
G/r44/52/phi_lp	4605416248070723811	0.8039156590919244
G/r44/52/phi_hp	4606553855233805547	0.9302154256351093
G/r44/52/mdot_air	4604782227418796649	0.7335252265061857
G/r44/52/f	4583413836419931648	0.02691116430915308
G/r44/52/Phi_lp	4590430559413318797	0.08002125004505185
G/r44/52/Phi_hp	4590706205075903383	0.08384660206054516
G/r44/52/sp_thrust	4648942553790388078	651.5776898830497
G/r44/53/s	4607452634777659640	1.0600000000000005
G/r44/53/nu_lp	4606407981635823533	0.9140202029186547
G/r44/53/nu_hp	4606131996023845773	0.8833796448303574
G/r44/53/Tt4	4653872080561897472	1400.0
G/r44/53/slip	4607338628881148924	1.0346856057501546
G/r44/53/pi_lpc	4612946391425958958	2.5597180490517735
