# phase-3E nozzle-strand oracle — key	u64 bits	repr
# cpython 3.14.3
nz/warm0/dV9	4603721892528566272	0.6158044056114704
nz/warm0/dV9_frac	4557532130086283741	0.00048228058060187183
nz/warm0/co_frac_entry	4553169451320304112	0.00024577929080529717
nz/warm0/exit_eq/CO2	4590378476468222604	0.07929845398460084
nz/warm0/exit_eq/H2O	4590378474736032668	0.07929842994563646
nz/warm0/exit_eq/CO	4439038722371901574	6.055777179370568e-12
nz/warm0/exit_eq/H2	4442395769298884912	1.0259198567665789e-11
nz/warm0/exit_eq/OH	4497352888707901940	4.8069518256020054e-08
nz/warm0/exit_eq/O	4446926701763224777	2.0606714294812573e-11
nz/warm0/exit_eq/H	4391145106826647840	3.659580776398096e-15
nz/warm0/exit_eq/O2	4591195442882489212	0.09063614052790386
nz/warm0/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/warm0/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/warm0/x_no_e_entry	4563827254915734455	0.0013410349256390683
clamp/warm0/x_no_e_exit	4534534124408939972	1.4258103740355246e-05
clamp/warm0/collapse	4636318894774740990	94.05422698977051
dp/hot0/far	4588030975683916218	0.0546101681106594
dp/hot0/Tt9	4656594157056309360	2018.9285373720595
dp/hot0/pt9	4692789657373985091	528810.229303636
dp/hot0/p9	4677104761256804352	50000.0
dp/hot0/V9_cycle	4654177776346681296	1469.5071741538013
dp/hot0/T9_cycle	4653069662893919116	1217.5513455911741
nz/hot0/T9_frozen	4653069662893919256	1217.551345591206
nz/hot0/T9_eq	4653128317629924460	1230.8878884988617
nz/hot0/V9_frozen	4654177776346681173	1469.5071741537733
nz/hot0/V9_eq	4654206084221282438	1475.943639645849
nz/hot0/dV9	4618932834325311744	6.43646549207574
nz/hot0/dV9_frac	4571699837227738163	0.0043800163791525735
nz/hot0/co_frac_entry	4577339705500285715	0.010731144652110147
nz/hot0/exit_eq/CO2	4592788657868784595	0.1127464400399412
nz/hot0/exit_eq/H2O	4592788516522203205	0.11274447846207732
nz/hot0/exit_eq/CO	4494305608258495263	2.885331508681336e-08
nz/hot0/exit_eq/H2	4491434194419721914	1.9352603654614243e-08
nz/hot0/exit_eq/OH	4526268020960798826	3.9420871698146935e-06
nz/hot0/exit_eq/O	4489449303959966577	1.3843156611528789e-08
nz/hot0/exit_eq/H	4454970936738501806	6.998083557684895e-11
nz/hot0/exit_eq/O2	4585992177218921583	0.04046316187061271
nz/hot0/exit_eq/N2	4605210854977551093	0.7811124449779913
nz/hot0/exit_eq/Ar	4576516852069590693	0.009303721488595438
clamp/hot0/x_no_e_entry	4570294357902113697	0.0035336036942860837
clamp/hot0/x_no_e_exit	4547136156285874259	0.00010174874040663863
clamp/hot0/collapse	4630084450382787880	34.728721752859485
iters/cool/shipped	4631248529308778496	43.0
iters/cool/converged	4641240890982006784	200.0
resid/cool/shipped	13664343481907150848	-7.958078640513122e-12
resid/cool/converged	13653788170280501248	-1.5916157281026244e-12
conv/cool/T9	4649287324828129892	690.7736189019165
iters/dp/shipped	4631389266797133824	44.0
iters/dp/converged	4641240890982006784	200.0
resid/dp/shipped	13668952634650787840	-1.6257217794191092e-11
resid/dp/converged	4428164333612040192	1.1368683772161603e-12
conv/dp/T9	4650351087250212924	811.7094047556234
iters/warm/shipped	4631389266797133824	44.0
iters/warm/converged	4641240890982006784	200.0
resid/warm/shipped	13660262094744846336	-4.320099833421409e-12
resid/warm/converged	4432386458262700032	2.1600499167107046e-12
conv/warm/T9	4651997398599473822	998.8733359583018
iters/hot/shipped	4631389266797133824	44.0
iters/hot/converged	4641240890982006784	200.0
resid/hot/shipped	13669832243953008640	-1.9099388737231493e-11
resid/hot/converged	4427038433705197568	9.094947017729282e-13
conv/hot/T9	4653247435782818660	1257.9722207344248
iters/cool0/shipped	4631389266797133824	44.0
iters/cool0/converged	4641240890982006784	200.0
resid/cool0/shipped	4439704807657177088	6.59383658785373e-12
resid/cool0/converged	13645906870932602880	-4.547473508864641e-13
conv/cool0/T9	4648976905827319408	655.4830643310688
iters/dp0/shipped	4631389266797133824	44.0
iters/dp0/converged	4641240890982006784	200.0
resid/dp0/shipped	4445721335284367360	1.6711965145077556e-11
resid/dp0/converged	13647032770839445504	-5.684341886080801e-13
conv/dp0/T9	4650032830652080102	775.5278185298637
iters/warm0/shipped	4631389266797133824	44.0
iters/warm0/converged	4641240890982006784	200.0
resid/warm0/shipped	13666454544232480768	-1.1368683772161603e-11
resid/warm0/converged	4418031234450456576	2.2737367544323206e-13
conv/warm0/T9	4651665178042562084	961.1042314168922
iters/hot0/shipped	4631389266797133824	44.0
iters/hot0/converged	4641240890982006784	200.0
resid/hot0/shipped	4449978644307116032	3.183231456205249e-11
resid/hot0/converged	13645906870932602880	-4.547473508864641e-13
conv/hot0/T9	4653069662893919114	1217.5513455911737
resid/bit_equal_count	0	0.0
bp/dp/r999/T9	4653266904024687846	1262.3987864426394
bp/dp/r999/V9	4628277145827195693	26.94352526001892
bp/dp/r900/T9	4653134091741919122	1232.2007695655088
bp/dp/r900/V9	4643542465143212467	274.8293440846275
bp/dp/r500/T9	4652434705950897928	1073.1788517082477
bp/dp/r500/V9	4649205462354832065	681.4669331846163
bp/dp/r250/T9	4651197353383260945	907.9187252927533
bp/dp/r250/V9	4651360002922791347	926.4098370988416
bp/dp/r159/T9	4650349995702286742	811.5853101236742
bp/dp/r159/V9	4652288906128392340	1040.0278101861813
bp/dp/r100/T9	4649558351562363356	721.5857912549359
bp/dp/r100/V9	4652701839057423660	1133.9178879715719
bp/dp/r050/T9	4648511608718834746	602.5849074664359
bp/dp/r050/V9	4653188422057396914	1244.5540530836847
bp/dp/r030/T9	4647838526351770390	526.0643016287092
bp/dp/r030/V9	4653473339841308523	1309.3368568108078
guard/dp/fires	4616189618054758400	4.0
guard/dp/ladder	4622945017495814144	12.0
bp/hot/r999/T9	4656473035663520437	1991.3887211188387
bp/hot/r999/V9	4629964452893226625	33.8760883076875
bp/hot/r900/T9	4656285319800814935	1948.7070754764916
bp/hot/r900/V9	4644790316557190196	345.7614846854151
bp/hot/r500/T9	4655291982718058242	1722.8483720160443
bp/hot/r500/V9	4650779558853620118	860.4209864004977
bp/hot/r250/T9	4654248805764315546	1485.657393905893
bp/hot/r250/V9	4652880892530250998	1174.6299341891986
bp/hot/r159/T9	4653635211535825190	1346.1422189432865
bp/hot/r159/V9	4653530466988742137	1322.326066290376
bp/hot/r100/T9	4653056896168362532	1214.6485282779986
bp/hot/r100/V9	4654073396481099198	1445.7739404741292
bp/hot/r050/T9	4652279678182477190	1037.9296182066623
bp/hot/r050/V9	4654722938598351397	1593.4627190289405
bp/hot/r030/T9	4651317555231404159	921.5840932964492
bp/hot/r030/V9	4655109675866134623	1681.396593035686
bp/hot/r020/T9	4650571873606335710	836.8099073953015
bp/hot/r020/V9	4655373326408164823	1741.343785809693
bp/hot/r010/T9	4649423896626277052	706.300034755222
bp/hot/r010/V9	4655752172661740818	1827.4834509131656
bp/hot/r005/T9	4648426708126077332	592.9328275551547
bp/hot/r005/V9	4656057752682834930	1896.9643034513542
guard/hot/fires	4607182418800017408	1.0
guard/hot/ladder	4622945017495814144	12.0
r17/dp/far	4583491089772941734	0.02717919071928212
r17/dp/Tt3	4648343779432381839	583.5049266125296
r17/dp/Tt4	4654311885213007872	1500.0
r17/dp/p	4694667685457302737	747441.4730230813
r17/dp/Tt9	4653268190414248304	1262.6912775650526
r17/dp/pt9	4689142792485382617	314273.6398188151
r17/dp/p9	4677104761256804352	50000.0
r17/nozzle/T9	4650351087250212771	811.709404755606
r17/nozzle/x_no_e_exit	4522103537437364491	2.114664841396568e-06
r17/nozzle/collapse	4638131543132385083	119.81350945000024
r17/J225/T9	4650351087250212771	811.709404755606
r17/J225/x_no_e_exit	4522103537437364491	2.114664841396568e-06
r17/J225/collapse	4638131543132385083	119.81350945000024
r17/J225/x_no_mixed	4495143006116862339	3.344574197340878e-08
r17/J225/x_no_bulk	4529782715630518960	6.919149354606718e-06
r17/J225/x_no_pocket	4537525888694006517	2.3393910097690773e-05
r17/J225/a_mixed	4580215900685137215	0.015816095921526992
r17/J225/a_bulk	4614550271578651637	3.271983918755263
r17/J225/a_pocket	4622417366462936364	11.062703478930949
r17/J225/ei_bulk	4598556709089794675	0.27117692379889674
r17/J225/ei_pocket	4606433556737425660	0.9168596095842356
r17/J225/gap	4614795840580583054	3.3810384627866545
r17/J225/max_a_quench	4604662429096596126	0.7202249409443373
r17/J225/hides	4607182418800017408	1.0
r17/J225/monotone	4607182418800017408	1.0
r17/J225/ce15/T9	4650351087250212771	811.709404755606
r17/J225/ce15/x_no_e_exit	4522103537437364491	2.114664841396568e-06
r17/J225/ce15/collapse	4638131543132385083	119.81350945000024
r17/J225/ce15/x_no_mixed	4495143006116862339	3.344574197340878e-08
r17/J225/ce15/x_no_bulk	4531555304638938003	9.211786762106956e-06
r17/J225/ce15/x_no_pocket	4538202555822166033	2.5686547505191006e-05
r17/J225/ce15/a_mixed	4580215900685137215	0.015816095921526992
r17/J225/ce15/a_bulk	4616590601723179002	4.356145040943369
r17/J225/ce15/a_pocket	4623027694916173355	12.146864601119054
r17/J225/ce15/ei_bulk	4600175367338151436	0.3610305066151518
r17/J225/ce15/ei_pocket	4607212652330810724	1.0067131924004906
r17/J225/ce15/gap	4613461435496793047	2.7884435635064437
r17/J225/ce15/max_a_quench	4604662429096596126	0.7202249409443373
r17/J225/ce15/hides	4607182418800017408	1.0
r17/J225/ce15/monotone	4607182418800017408	1.0
r17/J225/su/T9	4650351087250212771	811.709404755606
r17/J225/su/x_no_e_exit	4522103537437364491	2.114664841396568e-06
r17/J225/su/collapse	4638131543132385083	119.81350945000024
r17/J225/su/x_no_mixed	4496537452976146596	4.267341723129196e-08
r17/J225/su/x_no_bulk	4530901374278262548	8.10398564070296e-06
r17/J225/su/x_no_pocket	4538656498629711884	2.722456556183282e-05
r17/J225/su/a_mixed	4581473639622542064	0.020179754444259623
r17/J225/su/a_bulk	4615811943913695060	3.8322789891143803
r17/J225/su/a_pocket	4623437134358489820	12.874175154798131
r17/J225/su/ei_bulk	4599393232571950182	0.3176133053253295
r17/J225/su/ei_pocket	4607484121949748346	1.0669915566866437
r17/J225/su/gap	4614747125152887905	3.359404466994008
r17/J225/su/max_a_quench	4605428960453904541	0.8053270171424348
r17/J225/su/hides	4607182418800017408	1.0
r17/J225/su/monotone	4607182418800017408	1.0
r17/J25/T9	4650351087250212771	811.709404755606
r17/J25/x_no_e_exit	4522103537437364491	2.114664841396568e-06
