# slice Q smoke — rung 37 CombustorTransient — key	u64 bits (or an integer)	repr
K/2/st_Tt4	4651127699538974408	900.000000000663
K/2/ct_mdot_air	4603633956065776833	0.6060414970421776
K/2/st_mdot_air	4603633956065776833	0.6060414970421776
census/K/backpressure_bracket_fails	0	0
census/K/backpressure_calls	0	0
census/K/illinois_calls	273	273
census/K/illinois_evals	2351	2351
census/K/illinois_exhausted	0	0
census/K/instant_soak_calls	0	0
census/K/plenum_state_calls	0	0
census/K/pt4_at_bracket_fails	0	0
census/K/pt4_at_calls	0	0
census/K/pt4_at_floor_fails	0	0
census/K/soak_close_bracket_fails	0	0
census/K/soak_close_calls	0	0
