# slice U oracle (cpython) - rungs 49+50+51+52 readers - key	u64 bits (or an integer)	repr
B/g3g4_r2/1/min_phi_lp_bare	4605029139501283261	0.7609379744096639
B/g3g4_r2/1/min_phi_lp_lim	4604716242441685832	0.7261994224194064
B/g3g4_r2/1/min_phi_hp_bare	4606377970296798692	0.9106882749601337
B/g3g4_r2/1/min_phi_hp_lim	4606067522970597576	0.8762216980119542
B/g3g4_r2/1/fuel_removed	4563960818386913537	0.0013699968867624814
B/g3g4_r2/1/nu_hp_end	4606811032247356364	0.9587678098199546
B/g3g4_r2/1/nu_hp_end_bare	4606811202852586238	0.9587867508053873
B/g3g4_r2/1/s_off/is_none	0	0
B/g3g4_r2/1/s_off	4604119971053405471	0.66
B/g3g4_r2/1/tau_rel/is_none	1	1
B/g3g4_r2/1/phi_lim/is_none	0	0
B/g3g4_r2/1/phi_lim	4605133280969563832	0.7725
B/g3g4_r2/1/margin/is_none	1	1
B/g3g4_r2/1/relief_watched/is_none	0	0
B/g3g4_r2/1/relief_watched	13808539210844129104	-0.03473855199025755
B/g3g4_r2/1/relief_other/is_none	0	0
B/g3g4_r2/1/relief_other	13808500015109788096	-0.03446657694817956
B/g3g4_r2/1/n_engaged	32	32
B/g3g4_r2/1/spool	1	'lp'
B/g3g4_r2/1/s_eng	4581421828931458171	0.02
B/g3g4_r2/1/s_rel	4603939827068310653	0.6400000000000002
B/g3g4_r2/2/r	4611686018427387904	2.0
B/g3g4_r2/2/rho	4607182418800017408	1.0
B/g3g4_r2/2/ds	4581421828931458171	0.02
B/g3g4_r2/2/deficit_at_release	4600768044582712352	0.393930702769298
B/g3g4_r2/2/s_lp_bare	4599436227440940155	0.32
B/g3g4_r2/2/s_hp_bare	4603939827068310653	0.6400000000000002
B/g3g4_r2/2/relief_lp	13811805504911774144	-0.05740301998460806
B/g3g4_r2/2/relief_hp	13813008429479992632	-0.06899997187575913
B/g3g4_r2/2/s_min_lp	4607632778762754460	1.1000000000000005
B/g3g4_r2/2/s_min_hp	4607632778762754460	1.1000000000000005
B/g3g4_r2/2/min_phi_lp_bare	4605029139501283261	0.7609379744096639
B/g3g4_r2/2/min_phi_lp_lim	4604512099062458017	0.7035349544250559
B/g3g4_r2/2/min_phi_hp_bare	4606377970296798692	0.9106882749601337
B/g3g4_r2/2/min_phi_hp_lim	4605756473801542205	0.8416883030843746
B/g3g4_r2/2/fuel_removed	4570911905918107151	0.00380142245450777
B/g3g4_r2/2/nu_hp_end	4606810420743048174	0.9586999192036936
B/g3g4_r2/2/nu_hp_end_bare	4606811202852586238	0.9587867508053873
B/g3g4_r2/2/s_off/is_none	0	0
B/g3g4_r2/2/s_off	4607632778762754458	1.1
B/g3g4_r2/2/tau_rel/is_none	1	1
B/g3g4_r2/2/phi_lim/is_none	0	0
B/g3g4_r2/2/phi_lim	4605133280969563832	0.7725
B/g3g4_r2/2/margin/is_none	1	1
B/g3g4_r2/2/relief_watched/is_none	0	0
B/g3g4_r2/2/relief_watched	13811805504911774144	-0.05740301998460806
B/g3g4_r2/2/relief_other/is_none	0	0
B/g3g4_r2/2/relief_other	13813008429479992632	-0.06899997187575913
B/g3g4_r2/2/n_engaged	54	54
B/g3g4_r2/2/spool	1	'lp'
B/g3g4_r2/2/s_eng	4581421828931458171	0.02
B/g3g4_r2/2/s_rel	4607542706770207050	1.0800000000000005
B/g3g4_r2/3/r	4611686018427387904	2.0
B/g3g4_r2/3/rho	4607182418800017408	1.0
B/g3g4_r2/3/ds	4581421828931458171	0.02
B/g3g4_r2/3/deficit_at_release	4601144654983487434	0.4148367796819882
B/g3g4_r2/3/s_lp_bare	4599436227440940155	0.32
B/g3g4_r2/3/s_hp_bare	4603939827068310653	0.6400000000000002
B/g3g4_r2/3/relief_lp	13812752936763011016	-0.06545429816304627
B/g3g4_r2/3/relief_hp	13814556750042228944	-0.09048723609695064
B/g3g4_r2/3/s_min_lp	4609704434591344890	1.560000000000001
B/g3g4_r2/3/s_min_hp	4609704434591344890	1.560000000000001
B/g3g4_r2/3/min_phi_lp_bare	4605029139501283261	0.7609379744096639
B/g3g4_r2/3/min_phi_lp_lim	4604439579595649476	0.6954836762466177
B/g3g4_r2/3/min_phi_hp_bare	4606377970296798692	0.9106882749601337
B/g3g4_r2/3/min_phi_hp_lim	4605562933731262666	0.8202010388631831
B/g3g4_r2/3/fuel_removed	4575131240383467824	0.007356284184045145
B/g3g4_r2/3/nu_hp_end	4606808333907147664	0.9584682338771575
B/g3g4_r2/3/nu_hp_end_bare	4606811202852586238	0.9587867508053873
B/g3g4_r2/3/s_off/is_none	0	0
B/g3g4_r2/3/s_off	4609704434591344886	1.56
B/g3g4_r2/3/tau_rel/is_none	1	1
B/g3g4_r2/3/phi_lim/is_none	0	0
B/g3g4_r2/3/phi_lim	4605133280969563832	0.7725
B/g3g4_r2/3/margin/is_none	1	1
B/g3g4_r2/3/relief_watched/is_none	0	0
B/g3g4_r2/3/relief_watched	13812752936763011016	-0.06545429816304627
B/g3g4_r2/3/relief_other/is_none	0	0
B/g3g4_r2/3/relief_other	13814556750042228944	-0.09048723609695064
B/g3g4_r2/3/n_engaged	77	77
B/g3g4_r2/3/spool	1	'lp'
B/g3g4_r2/3/s_eng	4581421828931458171	0.02
B/g3g4_r2/3/s_rel	4609614362598797480	1.540000000000001
B/g3g4_r2/4/r	4611686018427387904	2.0
B/g3g4_r2/4/rho	4607182418800017408	1.0
B/g3g4_r2/4/ds	4581421828931458171	0.02
B/g3g4_r2/4/deficit_at_release	4600269014172966965	0.36622895022492524
